,[PERIODS] (U18-54 +g|ROMANIA|30.01.2023|All|Live|All Platforms),Unnamed: 18,Unnamed: 20
1,Timebands,Digi 24,Antena 1
2,02:00 - 02:15,0.08,0.25
3,02:15 - 02:30,0.08,0.25
4,02:30 - 02:45,0.08,0.25
5,02:45 - 03:00,0.08,0.25
6,03:00 - 03:15,0.11,0.27
7,03:15 - 03:30,0.12,0.25
8,03:30 - 03:45,0.12,0.25
9,03:45 - 04:00,0.12,0.25
10,04:00 - 04:15,0.12,0.3
11,04:15 - 04:30,0.12,0.25
12,04:30 - 04:45,0.12,0.21
13,04:45 - 05:00,0.08,0.16
14,05:00 - 05:15,0,0.2
15,05:15 - 05:30,0.08,0.24
16,05:30 - 05:45,0.08,0.24
17,05:45 - 06:00,0.08,0.5
18,>>> 2:00 - 6:00,0.09,0.26
19,06:00 - 06:15,0.12,1.42
20,06:15 - 06:30,0.18,1.25
21,06:30 - 06:45,0.24,2.01
22,06:45 - 07:00,0.24,2.31
23,07:00 - 07:15,0.11,2.5
24,07:15 - 07:30,0.11,2.41
25,07:30 - 07:45,0.14,2.82
26,07:45 - 08:00,0.11,1.89
27,08:00 - 08:15,0.2,1.36
28,08:15 - 08:30,0.21,1.38
29,08:30 - 08:45,0.19,1.54
30,08:45 - 09:00,0.18,1.72
31,>>> 6:00 - 9:00,0.17,1.88
32,09:00 - 09:15,0.18,1.56
33,09:15 - 09:30,0.18,1.64
34,09:30 - 09:45,0.31,1.54
35,09:45 - 10:00,0.29,1.58
36,10:00 - 10:15,0.12,1.56
37,10:15 - 10:30,0.32,1.32
38,10:30 - 10:45,0.24,1.54
39,10:45 - 11:00,0.28,1.38
40,11:00 - 11:15,0.31,1.24
41,11:15 - 11:30,0.26,1.12
42,11:30 - 11:45,0.34,0.75
43,11:45 - 12:00,0.29,0.79
44,>>> 9:00 - 12:00,0.26,1.34
45,12:00 - 12:15,0.4,0.99
46,12:15 - 12:30,0.6,1.08
47,12:30 - 12:45,0.41,1.01
48,12:45 - 13:00,0.49,1.2
49,13:00 - 13:15,0.52,1.37
50,13:15 - 13:30,0.31,1.53
51,13:30 - 13:45,0.41,1.32
52,13:45 - 14:00,0.53,1.11
53,14:00 - 14:15,0.44,1.01
54,14:15 - 14:30,0.28,1.42
55,14:30 - 14:45,0.26,1.36
56,14:45 - 15:00,0.22,1.18
57,>>> 12:00 - 15:00,0.41,1.21
58,15:00 - 15:15,0.43,1.33
59,15:15 - 15:30,0.36,1.33
60,15:30 - 15:45,0.23,1.45
61,15:45 - 16:00,0.56,1.75
62,>>> 15:00 - 16:00,0.39,1.46
63,16:00 - 16:15,0.65,2.03
64,16:15 - 16:30,0.54,1.96
65,16:30 - 16:45,0.54,1.25
66,16:45 - 17:00,0.75,1.38
67,17:00 - 17:15,0.54,0.98
68,17:15 - 17:30,0.41,1.49
69,17:30 - 17:45,0.43,1.19
70,17:45 - 18:00,0.61,1.62
71,18:00 - 18:15,0.66,2.41
72,18:15 - 18:30,0.81,2.51
73,18:30 - 18:45,0.81,2.64
74,18:45 - 19:00,0.73,3.3
75,>>> 16:00 - 19:00,0.62,1.9
76,19:00 - 19:15,0.45,4.48
77,19:15 - 19:30,0.41,4.91
78,19:30 - 19:45,0.41,5.23
79,19:45 - 20:00,0.58,4.79
80,>>> 19:00 - 20:00,0.46,4.85
81,20:00 - 20:15,0.81,5.38
82,20:15 - 20:30,1.16,6.01
83,20:30 - 20:45,1.03,8.14
84,20:45 - 21:00,0.91,7.47
85,21:00 - 21:15,0.93,8.5
86,21:15 - 21:30,0.88,8.81
87,21:30 - 21:45,1.08,9.11
88,21:45 - 22:00,0.88,9.75
89,22:00 - 22:15,0.84,9.24
90,22:15 - 22:30,0.6,10.31
91,22:30 - 22:45,0.52,9.39
92,22:45 - 23:00,0.36,8.22
93,>>> 20:00 - 23:00,0.83,8.36
94,23:00 - 23:15,0.25,7.94
95,23:15 - 23:30,0.15,9.06
96,23:30 - 23:45,0.07,7.96
97,23:45 - 24:00,0.12,5.91
98,24:00 - 24:15,0.09,4.68
99,24:15 - 24:30,0.09,2.85
100,24:30 - 24:45,0.09,1.4
101,24:45 - 25:00,0.09,0.77
102,>>> 23:00 - 25:00,0.12,5.07
103,25:00 - 25:15,0.09,0.76
104,25:15 - 25:30,0.13,0.81
105,25:30 - 25:45,0.22,0.65
106,25:45 - 26:00,0.15,0.7
107,>>> 25:00 - 26:00,0.15,0.73
108,Whole day,0.35,2.6
