,[PERIODS] (U18-54 +g|ROMANIA|31.01.2023|All|Live|All Platforms),Unnamed: 18,Unnamed: 20
1,Timebands,Digi 24,Antena 1
2,02:00 - 02:15,0.2,0.5
3,02:15 - 02:30,0.26,0.26
4,02:30 - 02:45,0.16,0.21
5,02:45 - 03:00,0.09,0.29
6,03:00 - 03:15,0.09,0.39
7,03:15 - 03:30,0.15,0.4
8,03:30 - 03:45,0.18,0.43
9,03:45 - 04:00,0.17,0.41
10,04:00 - 04:15,0.17,0.39
11,04:15 - 04:30,0.18,0.38
12,04:30 - 04:45,0.26,0.4
13,04:45 - 05:00,0.22,0.4
14,05:00 - 05:15,0.17,0.45
15,05:15 - 05:30,0.18,0.39
16,05:30 - 05:45,0.21,0.42
17,05:45 - 06:00,0.33,0.79
18,>>> 2:00 - 6:00,0.19,0.41
19,06:00 - 06:15,0.45,1.41
20,06:15 - 06:30,0.44,1.66
21,06:30 - 06:45,0.22,1.42
22,06:45 - 07:00,0.24,1.88
23,07:00 - 07:15,0.28,2.24
24,07:15 - 07:30,0.25,2.12
25,07:30 - 07:45,0.33,2.22
26,07:45 - 08:00,0.17,1.59
27,08:00 - 08:15,0.4,1.2
28,08:15 - 08:30,0.42,0.99
29,08:30 - 08:45,0.55,1.2
30,08:45 - 09:00,0.44,1.14
31,>>> 6:00 - 9:00,0.35,1.59
32,09:00 - 09:15,0.28,1.25
33,09:15 - 09:30,0.38,1.3
34,09:30 - 09:45,0.36,1.3
35,09:45 - 10:00,0.23,1.14
36,10:00 - 10:15,0.21,1.25
37,10:15 - 10:30,0.14,1.31
38,10:30 - 10:45,0.17,1.41
39,10:45 - 11:00,0.1,1.39
40,11:00 - 11:15,0.08,1.71
41,11:15 - 11:30,0.13,1.75
42,11:30 - 11:45,0.11,1.84
43,11:45 - 12:00,0.26,1.79
44,>>> 9:00 - 12:00,0.2,1.45
45,12:00 - 12:15,0.25,1.62
46,12:15 - 12:30,0.46,1.44
47,12:30 - 12:45,0.33,1.26
48,12:45 - 13:00,0.3,1.43
49,13:00 - 13:15,0.23,1.36
50,13:15 - 13:30,0.1,1.63
51,13:30 - 13:45,0.1,1.84
52,13:45 - 14:00,0.17,1.32
53,14:00 - 14:15,0.08,1.87
54,14:15 - 14:30,0.14,1.9
55,14:30 - 14:45,0.18,1.63
56,14:45 - 15:00,0.27,1.47
57,>>> 12:00 - 15:00,0.22,1.57
58,15:00 - 15:15,0.45,1.94
59,15:15 - 15:30,0.53,2
60,15:30 - 15:45,0.72,2.25
61,15:45 - 16:00,0.71,2.11
62,>>> 15:00 - 16:00,0.6,2.08
63,16:00 - 16:15,0.71,1.99
64,16:15 - 16:30,0.88,2.24
65,16:30 - 16:45,1.07,1.51
66,16:45 - 17:00,0.72,1.87
67,17:00 - 17:15,0.35,1.71
68,17:15 - 17:30,0.39,1.66
69,17:30 - 17:45,0.4,1.91
70,17:45 - 18:00,0.48,2.01
71,18:00 - 18:15,0.48,2.2
72,18:15 - 18:30,0.49,2.5
73,18:30 - 18:45,0.57,2.96
74,18:45 - 19:00,0.9,4
75,>>> 16:00 - 19:00,0.62,2.22
76,19:00 - 19:15,0.42,3.93
77,19:15 - 19:30,0.3,5.21
78,19:30 - 19:45,0.34,5.07
79,19:45 - 20:00,0.37,5.26
80,>>> 19:00 - 20:00,0.36,4.87
81,20:00 - 20:15,0.63,5.18
82,20:15 - 20:30,0.64,6.48
83,20:30 - 20:45,0.47,7.94
84,20:45 - 21:00,0.66,8.12
85,21:00 - 21:15,1.15,9.33
86,21:15 - 21:30,1.27,8.3
87,21:30 - 21:45,0.86,9.2
88,21:45 - 22:00,0.99,8.87
89,22:00 - 22:15,0.88,8.57
90,22:15 - 22:30,0.82,7.97
91,22:30 - 22:45,0.59,8.11
92,22:45 - 23:00,0.43,6.87
93,>>> 20:00 - 23:00,0.78,7.91
94,23:00 - 23:15,0.58,7.11
95,23:15 - 23:30,0.53,7.19
96,23:30 - 23:45,0.48,6.14
97,23:45 - 24:00,0.24,5.71
98,24:00 - 24:15,0.46,3.62
99,24:15 - 24:30,0.4,2.61
100,24:30 - 24:45,0.3,2.02
101,24:45 - 25:00,0.2,1.62
102,>>> 23:00 - 25:00,0.4,4.5
103,25:00 - 25:15,0.2,1.41
104,25:15 - 25:30,0.2,1.38
105,25:30 - 25:45,0.24,1.25
106,25:45 - 26:00,0.17,1.03
107,>>> 25:00 - 26:00,0.2,1.27
108,Whole day,0.38,2.63
