1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.13,0.1
3,02:15 - 02:30,0.17,0.07
4,02:30 - 02:45,0.27,0
5,02:45 - 03:00,0.27,0.11
6,03:00 - 03:15,0.21,0.13
7,03:15 - 03:30,0.21,0.13
8,03:30 - 03:45,0.17,0.15
9,03:45 - 04:00,0.09,0.13
10,04:00 - 04:15,0.09,0.13
11,04:15 - 04:30,0.09,0.06
12,04:30 - 04:45,0.09,0.03
13,04:45 - 05:00,0.09,0.14
14,05:00 - 05:15,0.09,0.13
15,05:15 - 05:30,0.09,0.13
16,05:30 - 05:45,0.09,0.13
17,05:45 - 06:00,0.12,0.1
18,>>> 2:00 - 6:00,0.14,0.1
19,06:00 - 06:15,0.09,0.1
20,06:15 - 06:30,0.09,0.03
21,06:30 - 06:45,0.03,0.02
22,06:45 - 07:00,0,0
23,07:00 - 07:15,0.15,0.01
24,07:15 - 07:30,0.08,0.03
25,07:30 - 07:45,0,0.04
26,07:45 - 08:00,0.01,0.09
27,08:00 - 08:15,0.29,0.22
28,08:15 - 08:30,0.59,0.22
29,08:30 - 08:45,0.38,0.29
30,08:45 - 09:00,0.41,0.1
31,>>> 6:00 - 9:00,0.18,0.1
32,09:00 - 09:15,0.38,0.03
33,09:15 - 09:30,0.68,0.06
34,09:30 - 09:45,0.94,0.13
35,09:45 - 10:00,0.8,0.13
36,10:00 - 10:15,1.06,0.04
37,10:15 - 10:30,0.96,0.31
38,10:30 - 10:45,0.93,0.38
39,10:45 - 11:00,0.65,0.53
40,11:00 - 11:15,0.87,0.47
41,11:15 - 11:30,0.85,0.55
42,11:30 - 11:45,0.58,0.79
43,11:45 - 12:00,0.69,1.19
44,>>> 9:00 - 12:00,0.78,0.38
45,12:00 - 12:15,1,1.2
46,12:15 - 12:30,0.99,1.09
47,12:30 - 12:45,0.78,0.61
48,12:45 - 13:00,0.8,0.64
49,13:00 - 13:15,0.63,0.55
50,13:15 - 13:30,0.7,0.43
51,13:30 - 13:45,0.28,0.46
52,13:45 - 14:00,0.18,0.4
53,14:00 - 14:15,0.33,0.3
54,14:15 - 14:30,0.4,0.37
55,14:30 - 14:45,0.55,0.39
56,14:45 - 15:00,0.81,0.52
57,>>> 12:00 - 15:00,0.62,0.58
58,15:00 - 15:15,0.73,0.18
59,15:15 - 15:30,0.82,0.53
60,15:30 - 15:45,0.53,0.6
61,15:45 - 16:00,0.44,0.86
62,>>> 15:00 - 16:00,0.63,0.54
63,16:00 - 16:15,0.49,0.85
64,16:15 - 16:30,0.75,0.78
65,16:30 - 16:45,0.71,0.86
66,16:45 - 17:00,0.57,0.84
67,17:00 - 17:15,0.4,0.72
68,17:15 - 17:30,0.32,0.8
69,17:30 - 17:45,0.54,0.91
70,17:45 - 18:00,0.83,0.83
71,18:00 - 18:15,1.03,1
72,18:15 - 18:30,0.94,1.32
73,18:30 - 18:45,0.75,1.41
74,18:45 - 19:00,0.72,1.2
75,>>> 16:00 - 19:00,0.67,0.96
76,19:00 - 19:15,0.53,1.21
77,19:15 - 19:30,0.2,1.36
78,19:30 - 19:45,0.21,1.18
79,19:45 - 20:00,0.13,1.03
80,>>> 19:00 - 20:00,0.27,1.2
81,20:00 - 20:15,0.23,0.91
82,20:15 - 20:30,0.46,1.18
83,20:30 - 20:45,0.56,1.08
84,20:45 - 21:00,0.97,0.84
85,21:00 - 21:15,1,0.78
86,21:15 - 21:30,1.14,0.93
87,21:30 - 21:45,1.16,0.88
88,21:45 - 22:00,1.32,0.95
89,22:00 - 22:15,1.4,1.02
90,22:15 - 22:30,1.19,1.11
91,22:30 - 22:45,0.81,0.97
92,22:45 - 23:00,0.42,0.47
93,>>> 20:00 - 23:00,0.89,0.93
94,23:00 - 23:15,0.5,0.62
95,23:15 - 23:30,0.24,0.66
96,23:30 - 23:45,0.21,0.46
97,23:45 - 24:00,0.22,0.35
98,24:00 - 24:15,0.21,0.53
99,24:15 - 24:30,0.21,0.72
100,24:30 - 24:45,0.33,0.3
101,24:45 - 25:00,0.45,0.12
102,>>> 23:00 - 25:00,0.3,0.47
103,25:00 - 25:15,0.32,0.22
104,25:15 - 25:30,0.23,0.24
105,25:30 - 25:45,0.21,0.32
106,25:45 - 26:00,0.22,0.15
107,>>> 25:00 - 26:00,0.25,0.23
108,Whole day,0.49,0.51
