Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.42,0.37,0.06,0.0,0.0,0.1,0.35
02:15 - 02:30,4.92,0.3,0.11,0.0,0.0,0.02,0.3
02:30 - 02:45,4.47,0.23,0.15,0.0,0.0,0.0,0.25
02:45 - 03:00,3.61,0.18,0.2,0.0,0.0,0.0,0.25
03:00 - 03:15,3.29,0.09,0.19,0.0,0.0,0.0,0.25
03:15 - 03:30,3.18,0.13,0.17,0.0,0.0,0.0,0.25
03:30 - 03:45,3.16,0.09,0.05,0.0,0.0,0.0,0.3
03:45 - 04:00,2.94,0.09,0.0,0.0,0.0,0.0,0.39
04:00 - 04:15,2.99,0.09,0.0,0.0,0.0,0.0,0.42
04:15 - 04:30,2.82,0.04,0.0,0.0,0.0,0.0,0.35
04:30 - 04:45,2.79,0.0,0.0,0.02,0.0,0.0,0.2
04:45 - 05:00,2.7,0.0,0.0,0.0,0.0,0.0,0.2
05:00 - 05:15,2.64,0.0,0.0,0.0,0.0,0.0,0.33
05:15 - 05:30,2.68,0.0,0.02,0.0,0.0,0.0,0.35
05:30 - 05:45,3.22,0.0,0.2,0.02,0.0,0.0,0.37
05:45 - 06:00,3.9,0.04,0.31,0.0,0.0,0.01,0.3
06:00 - 06:15,4.38,0.14,0.17,0.0,0.0,0.01,0.3
06:15 - 06:30,4.47,0.19,0.09,0.01,0.0,0.01,0.29
06:30 - 06:45,4.61,0.15,0.04,0.0,0.0,0.01,0.2
06:45 - 07:00,5.07,0.2,0.05,0.0,0.0,0.01,0.12
07:00 - 07:15,5.8,0.33,0.03,0.01,0.0,0.0,0.0
07:15 - 07:30,6.56,0.31,0.01,0.0,0.0,0.01,0.07
07:30 - 07:45,6.95,0.28,0.07,0.01,0.0,0.0,0.11
07:45 - 08:00,6.87,0.32,0.13,0.03,0.03,0.01,0.08
08:00 - 08:15,7.3,0.33,0.21,0.0,0.0,0.0,0.22
08:15 - 08:30,7.14,0.41,0.23,0.0,0.0,0.0,0.16
08:30 - 08:45,7.75,0.44,0.31,0.0,0.06,0.0,0.22
08:45 - 09:00,8.46,0.36,0.37,0.0,0.05,0.0,0.31
09:00 - 09:15,8.67,0.24,0.44,0.0,0.0,0.07,0.49
09:15 - 09:30,8.75,0.27,0.11,0.0,0.0,0.16,0.78
09:30 - 09:45,9.15,0.29,0.07,0.0,0.0,0.23,0.76
09:45 - 10:00,9.76,0.34,0.03,0.0,0.0,0.24,0.7
10:00 - 10:15,9.47,0.32,0.0,0.0,0.0,0.21,0.71
10:15 - 10:30,9.13,0.33,0.05,0.01,0.0,0.32,0.66
10:30 - 10:45,9.19,0.41,0.29,0.05,0.0,0.22,0.39
10:45 - 11:00,9.08,0.22,0.34,0.04,0.0,0.21,0.45
