Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,4.77,0.22,0.01,0.0,0.0,0.12,0.13
02:15 - 02:30,4.4,0.11,0.0,0.04,0.0,0.12,0.12
02:30 - 02:45,3.95,0.11,0.0,0.08,0.0,0.07,0.23
02:45 - 03:00,3.25,0.11,0.0,0.14,0.0,0.0,0.13
03:00 - 03:15,2.59,0.06,0.0,0.08,0.0,0.0,0.12
03:15 - 03:30,2.48,0.0,0.0,0.08,0.0,0.0,0.12
03:30 - 03:45,2.45,0.0,0.0,0.08,0.0,0.0,0.12
03:45 - 04:00,2.38,0.0,0.0,0.08,0.0,0.0,0.12
04:00 - 04:15,2.09,0.0,0.0,0.08,0.0,0.0,0.13
04:15 - 04:30,2.17,0.0,0.0,0.08,0.0,0.0,0.12
04:30 - 04:45,2.36,0.0,0.0,0.08,0.07,0.0,0.12
04:45 - 05:00,2.41,0.0,0.0,0.08,0.09,0.0,0.12
05:00 - 05:15,2.56,0.09,0.0,0.08,0.0,0.0,0.12
05:15 - 05:30,2.88,0.11,0.0,0.08,0.0,0.0,0.32
05:30 - 05:45,2.78,0.11,0.0,0.08,0.0,0.0,0.37
05:45 - 06:00,3.18,0.23,0.0,0.08,0.0,0.0,0.37
06:00 - 06:15,4.01,0.39,0.03,0.08,0.0,0.0,0.37
06:15 - 06:30,4.66,0.38,0.03,0.08,0.0,0.0,0.37
06:30 - 06:45,5.26,0.47,0.04,0.08,0.0,0.01,0.38
06:45 - 07:00,5.93,0.58,0.29,0.06,0.0,0.02,0.38
07:00 - 07:15,6.98,0.72,0.04,0.02,0.0,0.01,0.56
07:15 - 07:30,7.89,0.65,0.13,0.0,0.01,0.0,0.71
07:30 - 07:45,7.93,0.57,0.3,0.0,0.0,0.0,0.63
07:45 - 08:00,7.98,0.58,0.19,0.0,0.0,0.0,0.34
08:00 - 08:15,8.12,0.59,0.38,0.0,0.0,0.01,0.39
08:15 - 08:30,8.94,0.56,0.32,0.04,0.05,0.14,0.54
08:30 - 08:45,9.61,0.89,0.3,0.0,0.07,0.08,0.41
08:45 - 09:00,9.28,0.6,0.41,0.0,0.0,0.09,0.41
09:00 - 09:15,9.55,0.6,0.05,0.02,0.0,0.19,0.55
09:15 - 09:30,9.74,0.71,0.01,0.0,0.0,0.24,0.66
09:30 - 09:45,9.7,0.46,0.16,0.01,0.0,0.2,0.68
09:45 - 10:00,9.95,0.38,0.19,0.0,0.04,0.19,0.5
10:00 - 10:15,11.15,0.44,0.33,0.0,0.07,0.23,0.52
10:15 - 10:30,11.67,0.46,0.45,0.02,0.15,0.28,0.84
10:30 - 10:45,11.86,0.39,0.91,0.03,0.01,0.33,0.79
10:45 - 11:00,12.29,0.38,0.89,0.04,0.0,0.15,0.49
11:00 - 11:15,12.68,0.43,0.77,0.06,0.0,0.27,0.59
11:15 - 11:30,12.72,0.5,0.62,0.11,0.04,0.38,0.68
11:30 - 11:45,11.81,0.82,0.33,0.15,0.13,0.13,0.58
11:45 - 12:00,12.02,0.85,0.47,0.12,0.03,0.19,0.37
12:00 - 12:15,12.11,1.0,0.49,0.08,0.0,0.31,0.52
12:15 - 12:30,12.36,0.84,0.94,0.1,0.0,0.77,0.29
12:30 - 12:45,12.57,0.86,0.6,0.08,0.05,0.32,0.27
12:45 - 13:00,12.74,0.79,0.79,0.08,0.02,0.15,0.39
13:00 - 13:15,13.16,0.6,0.65,0.09,0.0,0.1,0.34
13:15 - 13:30,13.62,0.69,0.66,0.08,0.0,0.26,0.55
13:30 - 13:45,13.58,0.7,0.78,0.07,0.0,0.19,0.45
13:45 - 14:00,13.42,0.77,0.76,0.0,0.0,0.15,0.37
14:00 - 14:15,13.56,0.83,0.69,0.0,0.0,0.33,0.34
14:15 - 14:30,13.65,0.87,0.65,0.0,0.0,0.34,0.36
14:30 - 14:45,13.47,0.73,0.44,0.05,0.0,0.22,0.35
14:45 - 15:00,12.85,0.8,0.5,0.14,0.0,0.02,0.28
15:00 - 15:15,11.8,1.02,0.72,0.02,0.0,0.15,0.42
15:15 - 15:30,12.68,0.93,0.67,0.0,0.01,0.08,0.32
15:30 - 15:45,13.01,0.62,0.69,0.2,0.0,0.14,0.34
15:45 - 16:00,12.59,0.62,0.64,0.07,0.0,0.18,0.09
16:00 - 16:15,13.7,0.63,0.66,0.0,0.0,0.06,0.51
16:15 - 16:30,14.24,0.72,0.8,0.01,0.0,0.25,0.46
16:30 - 16:45,15.66,0.77,0.62,0.04,0.0,0.11,0.49
16:45 - 17:00,17.7,0.88,0.67,0.0,0.0,0.11,0.36
17:00 - 17:15,19.16,0.82,0.68,0.05,0.0,0.33,0.09
17:15 - 17:30,19.35,0.6,0.84,0.01,0.01,0.15,0.13
17:30 - 17:45,18.88,0.56,0.82,0.05,0.0,0.06,0.33
17:45 - 18:00,20.6,0.5,0.47,0.13,0.0,0.02,0.39
18:00 - 18:15,22.64,0.66,0.59,0.23,0.0,0.3,0.47
18:15 - 18:30,24.06,0.63,1.01,0.21,0.0,0.28,0.88
18:30 - 18:45,25.8,0.93,1.43,0.16,0.0,0.23,0.74
18:45 - 19:00,27.23,0.58,1.31,0.27,0.03,0.46,1.11
19:00 - 19:15,28.56,0.4,0.82,0.33,0.04,0.37,0.91
19:15 - 19:30,29.67,0.51,0.95,0.09,0.0,0.41,0.74
19:30 - 19:45,31.5,0.52,1.02,0.13,0.02,0.35,0.63
19:45 - 20:00,32.26,0.8,0.95,0.01,0.05,0.42,0.58
20:00 - 20:15,32.46,0.88,1.03,0.02,0.15,0.37,0.44
20:15 - 20:30,34.37,0.73,1.08,0.02,0.01,0.2,0.53
20:30 - 20:45,35.67,0.83,0.87,0.0,0.01,0.19,0.94
20:45 - 21:00,36.18,0.75,0.78,0.05,0.11,0.14,1.17
21:00 - 21:15,36.28,0.85,0.8,0.0,0.2,0.12,1.24
21:15 - 21:30,36.48,1.09,0.86,0.0,0.22,0.22,1.35
21:30 - 21:45,36.27,1.31,1.21,0.07,0.05,0.29,1.06
21:45 - 22:00,35.28,1.24,1.22,0.04,0.08,0.49,0.73
22:00 - 22:15,35.01,1.32,1.06,0.01,0.1,0.52,0.75
22:15 - 22:30,33.52,1.56,0.94,0.01,0.11,0.55,0.64
22:30 - 22:45,30.68,1.17,1.09,0.04,0.08,0.5,0.56
22:45 - 23:00,28.25,0.58,0.87,0.06,0.18,0.37,0.51
23:00 - 23:15,25.82,0.59,0.49,0.0,0.16,0.43,0.89
23:15 - 23:30,21.92,0.55,0.36,0.0,0.09,0.44,0.76
23:30 - 23:45,20.04,0.25,0.44,0.0,0.0,0.33,0.54
23:45 - 24:00,17.74,0.33,0.38,0.05,0.01,0.44,0.5
24:00 - 24:15,14.44,0.36,0.14,0.0,0.0,0.55,0.54
24:15 - 24:30,12.57,0.34,0.16,0.0,0.0,0.45,0.54
24:30 - 24:45,10.76,0.3,0.11,0.0,0.0,0.57,0.44
24:45 - 25:00,9.94,0.31,0.09,0.09,0.0,0.35,0.33
25:00 - 25:15,8.9,0.28,0.11,0.0,0.0,0.39,0.27
25:15 - 25:30,8.06,0.28,0.08,0.0,0.0,0.39,0.22
25:30 - 25:45,7.63,0.22,0.04,0.0,0.0,0.26,0.18
25:45 - 26:00,6.73,0.22,0.0,0.0,0.0,0.18,0.2
Whole day,14.7,0.56,0.48,0.06,0.03,0.21,0.47
06:00,3.82,0.3,0.0,0.08,0.0,0.0,0.37
06:01,3.82,0.3,0.0,0.08,0.0,0.0,0.37
06:02,3.82,0.3,0.0,0.08,0.0,0.0,0.37
06:03,3.99,0.47,0.0,0.08,0.0,0.0,0.37
06:04,4.08,0.47,0.1,0.08,0.0,0.0,0.37
06:05,4.16,0.47,0.1,0.08,0.0,0.0,0.37
06:06,4.16,0.47,0.1,0.08,0.0,0.0,0.37
06:07,4.03,0.47,0.1,0.08,0.0,0.0,0.37
06:08,4.03,0.47,0.0,0.08,0.0,0.0,0.37
06:09,4.03,0.36,0.0,0.08,0.0,0.0,0.37
06:10,4.03,0.36,0.0,0.08,0.0,0.0,0.37
06:11,4.03,0.36,0.1,0.08,0.0,0.0,0.37
06:12,3.95,0.36,0.0,0.08,0.0,0.0,0.37
06:13,4.1,0.36,0.0,0.08,0.0,0.0,0.37
06:14,4.1,0.36,0.0,0.08,0.0,0.0,0.37
06:15,4.1,0.36,0.0,0.08,0.0,0.0,0.37
06:16,4.4,0.36,0.1,0.08,0.0,0.0,0.37
06:17,4.39,0.36,0.1,0.08,0.0,0.0,0.37
06:18,4.54,0.36,0.1,0.08,0.0,0.0,0.37
06:19,4.61,0.36,0.1,0.08,0.0,0.0,0.37
06:20,4.61,0.36,0.1,0.08,0.0,0.0,0.37
06:21,4.61,0.36,0.0,0.08,0.0,0.0,0.37
06:22,4.61,0.36,0.0,0.08,0.0,0.0,0.37
06:23,4.61,0.36,0.0,0.08,0.0,0.0,0.37
06:24,4.69,0.36,0.0,0.08,0.0,0.0,0.37
06:25,4.85,0.36,0.0,0.08,0.0,0.0,0.37
06:26,4.85,0.36,0.0,0.08,0.0,0.0,0.37
06:27,5.01,0.44,0.0,0.08,0.0,0.0,0.37
06:28,5.01,0.44,0.0,0.08,0.0,0.0,0.37
06:29,5.01,0.54,0.0,0.08,0.0,0.0,0.37
06:30,5.18,0.54,0.0,0.08,0.0,0.0,0.37
06:31,5.27,0.54,0.0,0.08,0.0,0.0,0.37
06:32,5.19,0.54,0.0,0.08,0.0,0.0,0.37
06:33,5.27,0.54,0.0,0.08,0.0,0.0,0.37
06:34,5.19,0.54,0.0,0.08,0.0,0.0,0.37
06:35,5.19,0.43,0.0,0.08,0.0,0.0,0.37
06:36,5.19,0.43,0.0,0.08,0.0,0.0,0.37
06:37,5.2,0.43,0.0,0.08,0.0,0.0,0.37
06:38,5.28,0.43,0.0,0.08,0.0,0.08,0.37
06:39,5.28,0.43,0.0,0.08,0.0,0.0,0.37
06:40,5.28,0.43,0.1,0.08,0.0,0.0,0.37
06:41,5.12,0.43,0.1,0.08,0.0,0.0,0.37
06:42,5.28,0.43,0.0,0.08,0.0,0.0,0.37
06:43,5.37,0.43,0.0,0.08,0.0,0.0,0.47
06:44,5.65,0.43,0.37,0.08,0.0,0.0,0.37
06:45,5.74,0.5,0.37,0.08,0.0,0.0,0.37
06:46,5.74,0.5,0.37,0.08,0.0,0.0,0.37
06:47,5.74,0.5,0.37,0.08,0.0,0.0,0.37
06:48,5.74,0.5,0.37,0.08,0.0,0.0,0.37
06:49,6.03,0.5,0.37,0.08,0.0,0.0,0.37
06:50,5.85,0.5,0.37,0.08,0.0,0.0,0.37
06:51,5.77,0.5,0.37,0.08,0.0,0.0,0.37
06:52,5.86,0.5,0.37,0.08,0.0,0.0,0.37
06:53,6.0,0.5,0.37,0.08,0.0,0.0,0.37
06:54,5.99,0.5,0.37,0.08,0.0,0.0,0.37
06:55,6.06,0.73,0.37,0.08,0.0,0.0,0.37
06:56,5.98,0.73,0.1,0.0,0.0,0.0,0.37
06:57,6.09,0.73,0.1,0.0,0.0,0.08,0.37
06:58,6.08,0.73,0.1,0.0,0.0,0.08,0.37
06:59,6.33,0.73,0.1,0.0,0.0,0.08,0.44
07:00,6.47,0.73,0.1,0.0,0.0,0.08,0.44
07:01,6.53,0.73,0.08,0.0,0.0,0.0,0.54
07:02,6.68,0.81,0.0,0.0,0.0,0.0,0.54
07:03,6.68,0.81,0.0,0.0,0.0,0.0,0.54
07:04,6.69,0.81,0.0,0.0,0.0,0.0,0.54
07:05,6.69,0.73,0.0,0.08,0.0,0.0,0.54
07:06,6.69,0.73,0.0,0.08,0.0,0.0,0.54
07:07,6.85,0.73,0.0,0.08,0.0,0.0,0.54
07:08,6.95,0.81,0.0,0.0,0.0,0.0,0.54
07:09,7.05,0.65,0.08,0.0,0.0,0.0,0.54
07:10,7.21,0.65,0.08,0.0,0.0,0.0,0.54
07:11,7.47,0.65,0.08,0.0,0.0,0.0,0.65
07:12,7.47,0.65,0.08,0.0,0.0,0.0,0.65
07:13,7.58,0.65,0.08,0.0,0.0,0.0,0.65
07:14,7.66,0.65,0.08,0.0,0.0,0.0,0.65
07:15,7.75,0.65,0.08,0.0,0.0,0.0,0.84
07:16,8.1,0.65,0.08,0.0,0.11,0.0,0.75
07:17,7.99,0.65,0.08,0.0,0.0,0.0,0.75
07:18,7.99,0.65,0.08,0.0,0.0,0.0,0.75
07:19,7.99,0.65,0.08,0.0,0.0,0.0,0.75
07:20,7.99,0.65,0.08,0.0,0.0,0.0,0.84
07:21,7.99,0.65,0.08,0.0,0.0,0.0,0.84
07:22,7.75,0.65,0.08,0.0,0.0,0.0,0.65
07:23,7.69,0.65,0.08,0.0,0.0,0.0,0.65
07:24,7.5,0.65,0.2,0.0,0.0,0.0,0.65
07:25,7.76,0.65,0.2,0.0,0.0,0.0,0.65
07:26,8.04,0.65,0.2,0.0,0.0,0.0,0.65
07:27,7.97,0.65,0.2,0.0,0.0,0.0,0.65
07:28,7.97,0.65,0.2,0.0,0.0,0.0,0.65
07:29,7.89,0.65,0.2,0.0,0.0,0.0,0.65
07:30,8.24,0.65,0.3,0.0,0.0,0.0,0.65
07:31,8.31,0.65,0.3,0.0,0.0,0.0,0.65
07:32,8.11,0.65,0.3,0.0,0.0,0.0,0.65
07:33,7.98,0.65,0.3,0.0,0.0,0.0,0.65
07:34,8.06,0.65,0.38,0.0,0.0,0.0,0.65
07:35,7.91,0.65,0.38,0.0,0.0,0.0,0.65
07:36,7.91,0.65,0.38,0.0,0.0,0.0,0.65
07:37,7.94,0.65,0.38,0.0,0.0,0.0,0.65
07:38,7.82,0.48,0.26,0.0,0.0,0.0,0.65
07:39,7.82,0.48,0.26,0.0,0.0,0.0,0.65
07:40,7.82,0.48,0.26,0.0,0.0,0.0,0.65
07:41,7.94,0.48,0.26,0.0,0.0,0.0,0.65
07:42,7.94,0.48,0.26,0.0,0.0,0.0,0.65
07:43,7.74,0.48,0.26,0.0,0.0,0.0,0.65
07:44,7.44,0.48,0.19,0.0,0.0,0.0,0.39
07:45,7.37,0.48,0.19,0.0,0.0,0.0,0.39
07:46,7.86,0.48,0.08,0.0,0.0,0.0,0.39
07:47,7.86,0.48,0.08,0.0,0.0,0.0,0.39
07:48,7.86,0.55,0.08,0.0,0.0,0.0,0.39
07:49,8.12,0.55,0.08,0.0,0.0,0.0,0.39
07:50,8.13,0.62,0.08,0.0,0.0,0.0,0.39
07:51,8.06,0.62,0.19,0.0,0.0,0.0,0.39
07:52,8.24,0.62,0.19,0.0,0.0,0.0,0.3
07:53,8.16,0.62,0.19,0.0,0.0,0.0,0.3
07:54,8.16,0.62,0.19,0.0,0.0,0.0,0.3
07:55,8.16,0.62,0.29,0.0,0.0,0.0,0.3
07:56,8.1,0.62,0.29,0.0,0.0,0.0,0.3
07:57,7.93,0.62,0.29,0.0,0.0,0.0,0.3
07:58,7.82,0.62,0.29,0.0,0.0,0.0,0.3
07:59,7.9,0.62,0.37,0.0,0.0,0.0,0.3
08:00,7.81,0.62,0.37,0.0,0.0,0.0,0.3
08:01,8.06,0.62,0.37,0.0,0.0,0.0,0.56
08:02,8.13,0.62,0.37,0.0,0.0,0.0,0.56
08:03,8.22,0.62,0.37,0.0,0.0,0.0,0.56
08:04,8.12,0.62,0.37,0.0,0.0,0.0,0.3
08:05,8.12,0.62,0.37,0.0,0.0,0.0,0.3
08:06,7.96,0.62,0.37,0.0,0.0,0.0,0.3
08:07,8.02,0.62,0.44,0.0,0.0,0.0,0.3
08:08,8.27,0.62,0.44,0.0,0.0,0.0,0.3
08:09,8.25,0.62,0.37,0.0,0.0,0.07,0.3
08:10,8.18,0.55,0.37,0.0,0.0,0.07,0.3
08:11,8.18,0.55,0.37,0.0,0.0,0.07,0.3
08:12,8.14,0.48,0.37,0.0,0.0,0.0,0.44
08:13,8.24,0.48,0.37,0.0,0.0,0.0,0.44
