Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.1,0.11,0.08,0.0,0.0,0.08,0.09
02:15 - 02:30,6.1,0.18,0.12,0.01,0.0,0.05,0.09
02:30 - 02:45,5.38,0.21,0.17,0.0,0.0,0.0,0.09
02:45 - 03:00,4.57,0.21,0.17,0.0,0.0,0.0,0.03
03:00 - 03:15,4.27,0.11,0.1,0.0,0.0,0.0,0.0
03:15 - 03:30,4.11,0.18,0.12,0.05,0.0,0.01,0.0
03:30 - 03:45,4.26,0.11,0.19,0.0,0.0,0.0,0.0
03:45 - 04:00,3.9,0.11,0.19,0.0,0.0,0.0,0.0
04:00 - 04:15,3.61,0.11,0.19,0.0,0.0,0.01,0.0
04:15 - 04:30,3.21,0.11,0.19,0.0,0.0,0.0,0.0
04:30 - 04:45,3.25,0.11,0.19,0.0,0.0,0.0,0.0
04:45 - 05:00,3.39,0.11,0.31,0.0,0.0,0.0,0.0
05:00 - 05:15,3.58,0.03,0.34,0.0,0.0,0.05,0.0
05:15 - 05:30,3.34,0.0,0.3,0.01,0.0,0.11,0.06
05:30 - 05:45,3.91,0.04,0.28,0.01,0.0,0.12,0.0
05:45 - 06:00,4.59,0.08,0.31,0.0,0.0,0.09,0.1
06:00 - 06:15,5.4,0.11,0.24,0.0,0.0,0.09,0.25
06:15 - 06:30,5.69,0.09,0.02,0.0,0.0,0.05,0.25
06:30 - 06:45,5.8,0.0,0.02,0.0,0.0,0.0,0.3
06:45 - 07:00,6.59,0.03,0.36,0.0,0.0,0.0,0.25
07:00 - 07:15,8.0,0.05,0.22,0.0,0.04,0.0,0.56
07:15 - 07:30,8.13,0.01,0.15,0.0,0.1,0.0,0.74
07:30 - 07:45,9.08,0.18,0.14,0.0,0.01,0.0,0.54
07:45 - 08:00,9.61,0.14,0.14,0.0,0.0,0.02,0.32
08:00 - 08:15,10.04,0.13,0.16,0.0,0.0,0.09,0.84
08:15 - 08:30,11.21,0.24,0.26,0.04,0.01,0.09,0.78
08:30 - 08:45,11.59,0.49,0.21,0.07,0.0,0.1,0.6
08:45 - 09:00,10.97,0.25,0.24,0.03,0.0,0.04,0.51
09:00 - 09:15,11.34,0.23,0.25,0.0,0.0,0.16,0.5
09:15 - 09:30,11.32,0.17,0.29,0.01,0.0,0.24,0.95
09:30 - 09:45,10.68,0.1,0.24,0.0,0.0,0.29,0.64
09:45 - 10:00,11.35,0.07,0.34,0.01,0.0,0.31,0.37
10:00 - 10:15,11.97,0.05,0.22,0.03,0.0,0.29,0.7
10:15 - 10:30,11.37,0.01,0.31,0.0,0.0,0.27,0.81
10:30 - 10:45,11.26,0.0,0.21,0.01,0.0,0.29,0.57
10:45 - 11:00,10.88,0.0,0.54,0.1,0.0,0.23,0.17
11:00 - 11:15,10.56,0.0,0.57,0.09,0.0,0.21,0.17
11:15 - 11:30,11.16,0.21,0.94,0.09,0.0,0.3,0.05
11:30 - 11:45,10.95,0.23,1.1,0.09,0.0,0.27,0.0
11:45 - 12:00,10.58,0.1,1.09,0.09,0.0,0.21,0.0
12:00 - 12:15,10.91,0.08,0.7,0.09,0.0,0.21,0.54
