Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.12,0.07,0.0,0.0,0.0,0.0,0.09
02:15 - 02:30,4.8,0.16,0.0,0.0,0.0,0.0,0.09
02:30 - 02:45,4.26,0.2,0.0,0.0,0.0,0.0,0.09
02:45 - 03:00,4.2,0.2,0.0,0.0,0.0,0.0,0.0
03:00 - 03:15,3.89,0.2,0.0,0.0,0.0,0.0,0.0
03:15 - 03:30,3.49,0.2,0.0,0.0,0.0,0.0,0.0
03:30 - 03:45,3.25,0.2,0.0,0.0,0.0,0.0,0.0
03:45 - 04:00,3.16,0.2,0.18,0.0,0.0,0.0,0.0
04:00 - 04:15,2.65,0.2,0.0,0.0,0.0,0.0,0.08
04:15 - 04:30,2.5,0.2,0.08,0.0,0.0,0.0,0.04
04:30 - 04:45,2.62,0.2,0.24,0.0,0.0,0.0,0.0
04:45 - 05:00,2.48,0.2,0.23,0.0,0.0,0.01,0.0
05:00 - 05:15,2.55,0.2,0.23,0.0,0.0,0.0,0.0
05:15 - 05:30,2.52,0.21,0.23,0.0,0.0,0.0,0.0
05:30 - 05:45,2.89,0.21,0.23,0.01,0.0,0.0,0.0
05:45 - 06:00,3.48,0.31,0.23,0.0,0.0,0.0,0.0
06:00 - 06:15,4.37,0.25,0.18,0.01,0.0,0.01,0.01
06:15 - 06:30,4.79,0.08,0.25,0.01,0.02,0.01,0.04
06:30 - 06:45,5.05,0.02,0.15,0.0,0.0,0.01,0.23
06:45 - 07:00,6.27,0.11,0.13,0.01,0.0,0.0,0.25
07:00 - 07:15,7.68,0.1,0.13,0.0,0.0,0.0,0.32
07:15 - 07:30,8.44,0.14,0.13,0.0,0.01,0.02,0.42
07:30 - 07:45,8.6,0.16,0.12,0.02,0.0,0.07,0.46
07:45 - 08:00,8.71,0.31,0.06,0.0,0.0,0.0,0.48
08:00 - 08:15,9.28,0.29,0.11,0.0,0.0,0.11,0.63
08:15 - 08:30,9.54,0.28,0.35,0.0,0.0,0.0,0.48
08:30 - 08:45,10.2,0.73,0.35,0.02,0.0,0.0,0.24
08:45 - 09:00,10.29,0.73,0.31,0.0,0.0,0.0,0.27
09:00 - 09:15,9.82,0.38,0.22,0.0,0.0,0.0,0.71
