Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.23,0.27,0.14,0.11,0.0,0.0,0.36
02:15 - 02:30,5.89,0.22,0.08,0.11,0.0,0.0,0.36
02:30 - 02:45,5.67,0.13,0.08,0.11,0.0,0.0,0.23
02:45 - 03:00,4.63,0.11,0.08,0.11,0.0,0.0,0.14
03:00 - 03:15,4.53,0.11,0.08,0.0,0.0,0.0,0.16
03:15 - 03:30,4.11,0.11,0.18,0.0,0.0,0.0,0.15
03:30 - 03:45,3.93,0.11,0.2,0.0,0.0,0.0,0.14
03:45 - 04:00,4.13,0.11,0.2,0.01,0.0,0.0,0.14
04:00 - 04:15,3.64,0.13,0.2,0.0,0.0,0.0,0.14
04:15 - 04:30,3.48,0.17,0.21,0.04,0.0,0.0,0.15
04:30 - 04:45,3.39,0.25,0.2,0.0,0.0,0.0,0.15
04:45 - 05:00,3.38,0.01,0.24,0.08,0.0,0.03,0.15
05:00 - 05:15,3.39,0.02,0.2,0.03,0.0,0.05,0.2
05:15 - 05:30,3.21,0.0,0.11,0.0,0.0,0.01,0.14
05:30 - 05:45,3.67,0.0,0.09,0.0,0.0,0.0,0.14
05:45 - 06:00,4.16,0.2,0.27,0.0,0.0,0.02,0.14
06:00 - 06:15,5.31,0.28,0.29,0.0,0.0,0.04,0.18
06:15 - 06:30,5.95,0.37,0.28,0.01,0.0,0.0,0.14
06:30 - 06:45,6.55,0.56,0.17,0.01,0.0,0.0,0.12
06:45 - 07:00,8.16,0.61,0.09,0.0,0.0,0.0,0.06
07:00 - 07:15,8.83,0.42,0.09,0.0,0.0,0.0,0.26
07:15 - 07:30,9.53,0.41,0.08,0.0,0.0,0.01,0.43
07:30 - 07:45,10.1,0.25,0.15,0.01,0.0,0.0,0.62
07:45 - 08:00,10.11,0.18,0.21,0.0,0.0,0.0,0.47
08:00 - 08:15,9.95,0.15,0.19,0.0,0.0,0.0,0.71
08:15 - 08:30,10.62,0.2,0.18,0.0,0.05,0.0,0.54
08:30 - 08:45,10.12,0.12,0.24,0.01,0.01,0.0,0.46
08:45 - 09:00,9.73,0.17,0.39,0.0,0.0,0.0,0.25
09:00 - 09:15,10.25,0.14,0.19,0.0,0.0,0.01,0.43
09:15 - 09:30,10.32,0.07,0.2,0.0,0.0,0.16,0.46
09:30 - 09:45,10.4,0.03,0.1,0.02,0.0,0.21,0.3
09:45 - 10:00,10.46,0.02,0.12,0.03,0.0,0.11,0.23
10:00 - 10:15,10.29,0.0,0.16,0.0,0.0,0.04,0.18
10:15 - 10:30,10.34,0.0,0.33,0.06,0.0,0.06,0.37
10:30 - 10:45,10.14,0.07,0.41,0.04,0.0,0.05,0.29
10:45 - 11:00,10.06,0.11,0.38,0.0,0.0,0.08,0.26
11:00 - 11:15,10.39,0.14,0.38,0.0,0.0,0.19,0.54
11:15 - 11:30,10.31,0.22,0.3,0.0,0.0,0.11,0.54
11:30 - 11:45,9.55,0.16,0.52,0.0,0.0,0.09,0.29
11:45 - 12:00,8.78,0.2,0.3,0.0,0.0,0.0,0.28
12:00 - 12:15,9.34,0.25,0.46,0.0,0.01,0.0,0.31
12:15 - 12:30,9.05,0.29,0.33,0.0,0.0,0.04,0.57
12:30 - 12:45,8.78,0.53,0.33,0.0,0.0,0.1,0.26
