Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.61,0.11,0.21,0.0,0.0,0.12,0.23
02:15 - 02:30,6.07,0.11,0.21,0.0,0.0,0.12,0.23
02:30 - 02:45,5.42,0.11,0.21,0.0,0.0,0.12,0.23
02:45 - 03:00,4.93,0.2,0.21,0.0,0.0,0.12,0.21
03:00 - 03:15,3.88,0.08,0.17,0.0,0.0,0.12,0.11
03:15 - 03:30,3.33,0.08,0.01,0.0,0.0,0.02,0.11
03:30 - 03:45,3.31,0.08,0.13,0.0,0.0,0.0,0.1
03:45 - 04:00,3.13,0.08,0.21,0.0,0.0,0.0,0.0
04:00 - 04:15,2.93,0.0,0.21,0.0,0.0,0.0,0.0
04:15 - 04:30,2.69,0.0,0.21,0.0,0.0,0.0,0.0
04:30 - 04:45,2.37,0.0,0.21,0.0,0.0,0.0,0.0
04:45 - 05:00,2.76,0.0,0.21,0.0,0.0,0.0,0.0
05:00 - 05:15,3.12,0.03,0.21,0.08,0.0,0.0,0.0
05:15 - 05:30,2.65,0.02,0.18,0.04,0.0,0.01,0.0
05:30 - 05:45,2.73,0.01,0.36,0.0,0.0,0.08,0.0
05:45 - 06:00,3.14,0.03,0.48,0.02,0.0,0.13,0.0
06:00 - 06:15,3.74,0.33,0.54,0.02,0.0,0.0,0.04
06:15 - 06:30,4.25,0.29,0.63,0.11,0.0,0.0,0.3
06:30 - 06:45,4.62,0.11,0.57,0.0,0.0,0.0,0.4
06:45 - 07:00,5.82,0.16,0.45,0.0,0.0,0.0,0.09
07:00 - 07:15,7.15,0.21,0.33,0.0,0.0,0.0,0.32
07:15 - 07:30,7.75,0.13,0.37,0.01,0.0,0.0,0.4
07:30 - 07:45,8.64,0.27,0.67,0.0,0.0,0.0,0.42
07:45 - 08:00,9.06,0.27,0.4,0.0,0.07,0.01,0.33
08:00 - 08:15,9.8,0.27,0.43,0.03,0.08,0.09,0.76
08:15 - 08:30,10.95,0.53,0.51,0.05,0.0,0.17,0.64
08:30 - 08:45,11.65,0.51,0.77,0.07,0.0,0.13,0.33
08:45 - 09:00,11.84,0.42,0.6,0.0,0.0,0.01,0.26
09:00 - 09:15,11.72,0.23,0.44,0.02,0.0,0.04,0.32
09:15 - 09:30,12.21,0.19,0.38,0.0,0.0,0.09,0.27
09:30 - 09:45,12.51,0.2,0.49,0.0,0.0,0.18,0.13
09:45 - 10:00,12.73,0.2,0.41,0.01,0.0,0.09,0.17
10:00 - 10:15,13.12,0.15,0.56,0.09,0.0,0.41,0.58
10:15 - 10:30,13.35,0.09,0.61,0.05,0.0,0.27,0.95
10:30 - 10:45,12.55,0.25,0.54,0.02,0.0,0.13,0.76
10:45 - 11:00,12.12,0.46,0.6,0.11,0.0,0.0,0.56
11:00 - 11:15,12.56,0.58,0.66,0.0,0.0,0.1,0.7
11:15 - 11:30,12.34,0.31,0.64,0.0,0.0,0.05,0.93
11:30 - 11:45,12.37,0.27,0.81,0.0,0.0,0.09,0.76
11:45 - 12:00,12.46,0.2,0.66,0.0,0.01,0.0,0.51
12:00 - 12:15,11.96,0.25,0.78,0.02,0.0,0.11,0.35
12:15 - 12:30,12.08,0.4,0.75,0.0,0.0,0.22,0.4
12:30 - 12:45,12.46,0.42,0.63,0.0,0.0,0.34,0.47
12:45 - 13:00,12.22,0.45,0.54,0.0,0.0,0.25,0.46
13:00 - 13:15,11.9,0.44,0.54,0.0,0.0,0.1,0.58
13:15 - 13:30,12.44,0.52,0.51,0.07,0.0,0.13,0.58
13:30 - 13:45,12.28,0.62,0.43,0.0,0.0,0.08,0.61
13:45 - 14:00,12.96,0.85,0.26,0.0,0.0,0.08,0.67
