Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.52,0.0,0.17,0.0,0.0,0.0,0.47
02:15 - 02:30,5.62,0.0,0.17,0.0,0.0,0.0,0.52
02:30 - 02:45,4.84,0.0,0.17,0.0,0.0,0.0,0.5
02:45 - 03:00,4.4,0.0,0.15,0.0,0.0,0.0,0.39
03:00 - 03:15,4.07,0.0,0.17,0.0,0.0,0.02,0.24
03:15 - 03:30,4.02,0.01,0.16,0.0,0.0,0.0,0.12
03:30 - 03:45,4.07,0.1,0.08,0.01,0.0,0.0,0.18
03:45 - 04:00,3.9,0.09,0.14,0.0,0.0,0.0,0.12
04:00 - 04:15,3.69,0.09,0.19,0.0,0.0,0.0,0.13
04:15 - 04:30,3.7,0.09,0.19,0.0,0.0,0.0,0.15
04:30 - 04:45,3.9,0.09,0.19,0.0,0.0,0.0,0.12
04:45 - 05:00,3.69,0.09,0.19,0.0,0.0,0.05,0.12
05:00 - 05:15,3.34,0.09,0.05,0.0,0.0,0.18,0.12
05:15 - 05:30,3.5,0.09,0.01,0.0,0.0,0.18,0.12
05:30 - 05:45,3.48,0.08,0.0,0.0,0.0,0.17,0.12
05:45 - 06:00,3.98,0.35,0.0,0.0,0.0,0.0,0.13
06:00 - 06:15,4.32,0.37,0.12,0.0,0.0,0.0,0.13
06:15 - 06:30,5.11,0.32,0.06,0.01,0.07,0.0,0.13
06:30 - 06:45,5.56,0.18,0.08,0.0,0.08,0.0,0.24
06:45 - 07:00,6.7,0.14,0.24,0.0,0.04,0.0,0.37
07:00 - 07:15,8.56,0.27,0.15,0.03,0.0,0.0,0.37
07:15 - 07:30,9.87,0.21,0.25,0.0,0.0,0.02,0.44
07:30 - 07:45,9.29,0.14,0.43,0.0,0.09,0.0,0.31
07:45 - 08:00,8.94,0.11,0.51,0.02,0.0,0.0,0.12
08:00 - 08:15,9.04,0.02,0.47,0.06,0.0,0.0,0.15
08:15 - 08:30,9.04,0.05,0.51,0.0,0.0,0.04,0.09
08:30 - 08:45,9.84,0.21,0.32,0.0,0.0,0.0,0.0
08:45 - 09:00,9.69,0.32,0.31,0.01,0.0,0.0,0.1
09:00 - 09:15,10.05,0.25,0.37,0.01,0.0,0.1,0.52
09:15 - 09:30,10.34,0.32,0.33,0.0,0.0,0.09,0.83
09:30 - 09:45,10.18,0.44,0.18,0.0,0.0,0.41,0.53
09:45 - 10:00,10.36,0.45,0.04,0.0,0.0,0.17,0.39
10:00 - 10:15,10.58,0.43,0.04,0.0,0.0,0.11,0.66
10:15 - 10:30,10.59,0.29,0.26,0.0,0.0,0.09,0.71
10:30 - 10:45,9.92,0.39,0.29,0.02,0.0,0.18,0.53
10:45 - 11:00,9.27,0.59,0.17,0.01,0.0,0.09,0.58
11:00 - 11:15,9.53,0.49,0.04,0.11,0.01,0.18,0.57
11:15 - 11:30,8.91,0.55,0.07,0.08,0.08,0.11,0.47
11:30 - 11:45,8.94,0.55,0.3,0.08,0.03,0.08,0.4
11:45 - 12:00,8.98,0.75,0.47,0.0,0.0,0.0,0.18
12:00 - 12:15,9.2,0.52,0.48,0.01,0.0,0.06,0.41
12:15 - 12:30,9.6,0.28,0.55,0.0,0.0,0.14,0.86
12:30 - 12:45,9.38,0.3,0.53,0.01,0.0,0.09,0.85
12:45 - 13:00,9.51,0.27,0.43,0.0,0.0,0.05,0.9
13:00 - 13:15,9.77,0.26,0.28,0.01,0.03,0.11,1.0
13:15 - 13:30,9.72,0.33,0.46,0.03,0.0,0.01,0.83
13:30 - 13:45,10.23,0.4,0.25,0.02,0.04,0.0,0.71
13:45 - 14:00,10.33,0.4,0.25,0.0,0.0,0.03,0.49
14:00 - 14:15,10.81,0.51,0.28,0.0,0.0,0.39,0.49
14:15 - 14:30,11.7,0.5,0.4,0.03,0.0,0.36,0.7
14:30 - 14:45,12.29,0.73,0.39,0.02,0.0,0.43,0.68
14:45 - 15:00,12.32,1.15,0.29,0.06,0.0,0.03,0.42
15:00 - 15:15,12.14,0.8,0.43,0.14,0.02,0.08,0.73
15:15 - 15:30,12.99,0.69,0.77,0.09,0.0,0.07,0.65
15:30 - 15:45,13.17,0.67,0.56,0.1,0.0,0.23,0.67
15:45 - 16:00,13.54,0.6,0.67,0.09,0.02,0.22,0.51
16:00 - 16:15,13.5,0.58,0.72,0.01,0.0,0.26,0.57
16:15 - 16:30,14.2,0.75,0.7,0.0,0.0,0.24,0.41
16:30 - 16:45,13.63,0.68,0.61,0.19,0.0,0.28,0.5
16:45 - 17:00,14.21,0.87,0.61,0.22,0.0,0.09,0.39
17:00 - 17:15,15.33,0.69,0.59,0.08,0.0,0.42,0.51
17:15 - 17:30,16.4,0.6,0.62,0.08,0.0,0.53,0.61
17:30 - 17:45,16.41,0.55,0.52,0.09,0.0,0.3,0.72
17:45 - 18:00,17.58,0.83,0.51,0.08,0.0,0.3,0.46
18:00 - 18:15,19.05,1.23,0.54,0.12,0.01,0.35,1.04
18:15 - 18:30,20.35,1.27,0.5,0.22,0.03,0.32,0.85
18:30 - 18:45,21.76,1.07,0.21,0.29,0.09,0.54,0.78
18:45 - 19:00,23.75,0.63,0.4,0.42,0.0,0.53,0.61
19:00 - 19:15,25.37,0.33,0.38,0.36,0.01,0.36,0.59
19:15 - 19:30,25.54,0.28,0.28,0.44,0.0,0.3,0.58
19:30 - 19:45,25.87,0.38,0.33,0.41,0.0,0.33,0.5
19:45 - 20:00,26.9,0.87,0.32,0.29,0.0,0.33,0.44
20:00 - 20:15,27.95,0.81,0.27,0.18,0.0,0.3,0.62
20:15 - 20:30,28.41,0.39,0.67,0.2,0.0,0.39,0.48
20:30 - 20:45,29.63,0.49,0.55,0.01,0.0,0.43,0.51
20:45 - 21:00,30.4,0.63,0.64,0.04,0.01,0.34,0.77
21:00 - 21:15,32.38,0.57,0.7,0.0,0.0,0.4,0.56
21:15 - 21:30,32.49,0.37,0.58,0.05,0.02,0.25,0.77
21:30 - 21:45,32.05,0.31,0.43,0.08,0.0,0.12,1.07
21:45 - 22:00,31.52,0.48,0.31,0.01,0.0,0.38,0.47
22:00 - 22:15,30.72,0.71,0.52,0.03,0.0,0.55,0.51
22:15 - 22:30,29.88,0.63,0.67,0.01,0.08,0.42,0.69
22:30 - 22:45,27.96,0.59,0.45,0.11,0.09,0.46,0.92
22:45 - 23:00,26.91,0.5,0.29,0.19,0.02,0.18,0.77
23:00 - 23:15,25.04,0.58,0.44,0.12,0.0,0.13,1.25
23:15 - 23:30,22.52,0.75,0.47,0.11,0.0,0.24,1.02
23:30 - 23:45,20.53,0.67,0.38,0.14,0.0,0.24,0.95
23:45 - 24:00,19.23,0.54,0.11,0.11,0.09,0.28,0.81
24:00 - 24:15,16.32,0.55,0.04,0.11,0.1,0.32,0.95
24:15 - 24:30,14.16,0.64,0.17,0.15,0.1,0.6,0.83
24:30 - 24:45,12.61,0.46,0.18,0.11,0.1,0.49,0.75
24:45 - 25:00,11.45,0.46,0.1,0.15,0.1,0.36,0.53
25:00 - 25:15,10.37,0.44,0.08,0.11,0.1,0.35,0.27
25:15 - 25:30,9.32,0.31,0.08,0.11,0.1,0.51,0.13
25:30 - 25:45,8.56,0.26,0.08,0.1,0.1,0.48,0.12
25:45 - 26:00,8.03,0.34,0.08,0.0,0.0,0.48,0.11
Whole day,13.6,0.43,0.33,0.07,0.02,0.2,0.51
06:00,4.1,0.35,0.0,0.0,0.0,0.0,0.12
06:01,4.1,0.35,0.0,0.0,0.0,0.0,0.12
06:02,4.26,0.35,0.0,0.0,0.0,0.0,0.12
06:03,4.26,0.35,0.0,0.0,0.0,0.0,0.12
06:04,4.26,0.35,0.2,0.0,0.0,0.0,0.12
06:05,4.26,0.35,0.2,0.0,0.0,0.0,0.12
06:06,4.2,0.35,0.2,0.0,0.0,0.0,0.12
06:07,4.2,0.35,0.2,0.0,0.0,0.0,0.12
06:08,4.2,0.35,0.2,0.0,0.0,0.0,0.12
06:09,4.2,0.35,0.2,0.0,0.0,0.0,0.12
06:10,4.28,0.35,0.2,0.0,0.0,0.0,0.12
06:11,4.38,0.35,0.2,0.0,0.0,0.0,0.34
06:12,4.58,0.46,0.29,0.0,0.0,0.0,0.12
06:13,4.58,0.46,0.0,0.0,0.0,0.0,0.12
06:14,4.89,0.46,0.0,0.0,0.0,0.0,0.12
06:15,4.89,0.35,0.2,0.0,0.0,0.0,0.12
06:16,4.78,0.35,0.2,0.0,0.0,0.0,0.12
06:17,4.86,0.35,0.08,0.0,0.0,0.0,0.12
06:18,4.84,0.35,0.0,0.0,0.08,0.0,0.12
06:19,4.84,0.35,0.0,0.0,0.08,0.0,0.12
06:20,4.92,0.35,0.0,0.0,0.08,0.0,0.12
06:21,5.14,0.35,0.0,0.0,0.08,0.0,0.12
06:22,5.13,0.35,0.2,0.0,0.08,0.0,0.12
06:23,5.41,0.35,0.2,0.0,0.08,0.0,0.12
06:24,5.33,0.35,0.0,0.13,0.08,0.0,0.12
06:25,5.26,0.35,0.0,0.0,0.08,0.0,0.25
06:26,5.33,0.37,0.0,0.0,0.08,0.0,0.12
06:27,5.44,0.37,0.0,0.0,0.08,0.0,0.12
06:28,5.2,0.13,0.0,0.0,0.08,0.0,0.12
06:29,5.2,0.13,0.0,0.0,0.08,0.0,0.12
06:30,5.2,0.13,0.0,0.0,0.08,0.0,0.12
06:31,5.29,0.13,0.0,0.0,0.08,0.0,0.12
06:32,5.29,0.13,0.0,0.0,0.08,0.0,0.12
06:33,5.29,0.13,0.0,0.0,0.08,0.0,0.12
06:34,5.4,0.13,0.0,0.0,0.08,0.0,0.12
06:35,5.4,0.13,0.0,0.0,0.08,0.0,0.12
06:36,5.29,0.13,0.0,0.0,0.08,0.0,0.12
06:37,5.2,0.13,0.0,0.0,0.08,0.0,0.12
06:38,5.42,0.21,0.11,0.0,0.08,0.0,0.37
06:39,5.63,0.21,0.11,0.0,0.08,0.0,0.37
06:40,5.88,0.28,0.11,0.0,0.08,0.0,0.37
06:41,5.79,0.28,0.11,0.0,0.08,0.0,0.37
06:42,6.0,0.28,0.22,0.0,0.08,0.0,0.37
06:43,6.14,0.21,0.22,0.0,0.08,0.0,0.37
06:44,6.22,0.21,0.3,0.0,0.08,0.0,0.37
06:45,6.22,0.08,0.3,0.0,0.08,0.0,0.37
06:46,6.6,0.15,0.3,0.0,0.08,0.0,0.37
06:47,6.53,0.15,0.3,0.0,0.08,0.0,0.37
06:48,6.55,0.15,0.3,0.0,0.08,0.0,0.37
06:49,6.67,0.15,0.3,0.0,0.08,0.0,0.37
06:50,6.62,0.19,0.3,0.0,0.08,0.0,0.37
06:51,6.47,0.19,0.3,0.0,0.08,0.0,0.37
06:52,6.47,0.19,0.19,0.0,0.0,0.0,0.37
06:53,6.65,0.19,0.19,0.0,0.0,0.0,0.37
06:54,6.65,0.08,0.19,0.0,0.0,0.0,0.37
06:55,6.65,0.08,0.19,0.0,0.0,0.0,0.37
06:56,6.84,0.08,0.19,0.0,0.0,0.0,0.37
06:57,6.94,0.08,0.19,0.0,0.0,0.0,0.37
06:58,7.12,0.08,0.19,0.0,0.0,0.0,0.37
