Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.85,0.0,0.04,0.09,0.0,0.12,0.71
02:15 - 02:30,5.67,0.01,0.13,0.19,0.0,0.13,0.72
02:30 - 02:45,5.62,0.0,0.13,0.15,0.0,0.08,0.78
02:45 - 03:00,5.38,0.0,0.13,0.15,0.0,0.0,0.77
03:00 - 03:15,4.8,0.0,0.13,0.15,0.0,0.0,0.71
03:15 - 03:30,4.63,0.0,0.13,0.15,0.0,0.0,0.71
03:30 - 03:45,4.47,0.0,0.13,0.15,0.0,0.0,0.71
03:45 - 04:00,4.19,0.0,0.18,0.15,0.0,0.0,0.71
04:00 - 04:15,3.85,0.0,0.19,0.15,0.0,0.0,0.71
04:15 - 04:30,3.52,0.0,0.08,0.15,0.0,0.0,0.51
04:30 - 04:45,3.88,0.0,0.08,0.15,0.0,0.01,0.46
04:45 - 05:00,3.79,0.0,0.08,0.15,0.0,0.07,0.46
05:00 - 05:15,3.47,0.0,0.08,0.15,0.0,0.07,0.46
05:15 - 05:30,3.67,0.0,0.08,0.15,0.0,0.08,0.46
05:30 - 05:45,3.54,0.02,0.08,0.17,0.0,0.07,0.26
05:45 - 06:00,3.68,0.13,0.08,0.15,0.0,0.12,0.09
06:00 - 06:15,4.43,0.31,0.14,0.14,0.0,0.05,0.09
06:15 - 06:30,5.05,0.27,0.2,0.0,0.01,0.0,0.09
06:30 - 06:45,5.63,0.26,0.12,0.02,0.0,0.0,0.16
06:45 - 07:00,6.52,0.17,0.2,0.0,0.0,0.0,0.09
07:00 - 07:15,8.4,0.19,0.2,0.0,0.0,0.03,0.09
07:15 - 07:30,9.37,0.26,0.23,0.02,0.0,0.02,0.43
07:30 - 07:45,9.62,0.34,0.29,0.01,0.0,0.0,0.52
07:45 - 08:00,9.02,0.34,0.29,0.01,0.0,0.02,0.71
08:00 - 08:15,9.73,0.38,0.31,0.01,0.0,0.04,0.9
08:15 - 08:30,10.22,0.39,0.29,0.0,0.05,0.02,0.96
08:30 - 08:45,10.5,0.42,0.3,0.08,0.05,0.0,0.49
08:45 - 09:00,11.27,0.44,0.42,0.24,0.15,0.01,0.71
09:00 - 09:15,11.78,0.4,0.32,0.24,0.0,0.09,1.05
09:15 - 09:30,11.63,0.23,0.33,0.14,0.0,0.13,1.1
09:30 - 09:45,12.09,0.14,0.27,0.06,0.0,0.27,0.78
09:45 - 10:00,12.21,0.17,0.28,0.0,0.0,0.28,0.7
10:00 - 10:15,12.29,0.31,0.22,0.03,0.0,0.31,0.69
10:15 - 10:30,11.7,0.25,0.46,0.05,0.0,0.34,0.68
10:30 - 10:45,11.43,0.33,0.31,0.02,0.0,0.2,0.82
10:45 - 11:00,10.95,0.02,0.19,0.0,0.0,0.19,0.71
11:00 - 11:15,11.3,0.28,0.57,0.02,0.0,0.19,0.47
11:15 - 11:30,11.34,0.55,0.61,0.02,0.0,0.17,0.45
11:30 - 11:45,11.22,0.57,0.42,0.04,0.0,0.28,0.29
11:45 - 12:00,11.2,0.58,0.55,0.1,0.0,0.28,0.25
12:00 - 12:15,11.61,0.66,0.38,0.22,0.0,0.11,0.59
12:15 - 12:30,11.57,0.59,0.62,0.07,0.01,0.24,0.56
12:30 - 12:45,12.27,0.95,0.61,0.03,0.04,0.2,0.52
12:45 - 13:00,12.57,0.82,0.78,0.03,0.05,0.14,0.63
13:00 - 13:15,13.27,0.77,0.75,0.0,0.05,0.07,0.79
13:15 - 13:30,12.76,0.92,0.78,0.04,0.05,0.09,0.81
13:30 - 13:45,12.43,0.81,0.55,0.16,0.11,0.28,1.0
13:45 - 14:00,12.67,1.01,0.68,0.01,0.12,0.21,0.84
14:00 - 14:15,13.12,0.92,0.78,0.04,0.0,0.11,0.7
14:15 - 14:30,13.39,0.84,0.8,0.01,0.0,0.09,0.95
14:30 - 14:45,13.68,0.71,0.65,0.01,0.0,0.21,1.34
14:45 - 15:00,14.55,0.62,0.82,0.06,0.0,0.09,1.11
15:00 - 15:15,15.2,0.73,0.64,0.0,0.0,0.24,0.98
