1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
2,02:00 - 02:15,0.22,0.01,0,0.12,0.13
3,02:15 - 02:30,0.11,0,0.04,0.12,0.12
4,02:30 - 02:45,0.11,0,0.08,0.07,0.23
5,02:45 - 03:00,0.11,0,0.14,0,0.13
6,03:00 - 03:15,0.06,0,0.08,0,0.12
7,03:15 - 03:30,0,0,0.08,0,0.12
8,03:30 - 03:45,0,0,0.08,0,0.12
9,03:45 - 04:00,0,0,0.08,0,0.12
10,04:00 - 04:15,0,0,0.08,0,0.13
11,04:15 - 04:30,0,0,0.08,0,0.12
12,04:30 - 04:45,0,0,0.08,0,0.12
13,04:45 - 05:00,0,0,0.08,0,0.12
14,05:00 - 05:15,0.09,0,0.08,0,0.12
15,05:15 - 05:30,0.11,0,0.08,0,0.32
16,05:30 - 05:45,0.11,0,0.08,0,0.37
17,05:45 - 06:00,0.23,0,0.08,0,0.37
18,>>> 2:00 - 6:00,0.07,0,0.08,0.02,0.17
19,06:00 - 06:15,0.39,0.03,0.08,0,0.37
20,06:15 - 06:30,0.38,0.03,0.08,0,0.37
21,06:30 - 06:45,0.47,0.04,0.08,0.01,0.38
22,06:45 - 07:00,0.58,0.29,0.06,0.02,0.38
23,07:00 - 07:15,0.72,0.04,0.02,0.01,0.56
24,07:15 - 07:30,0.65,0.13,0,0,0.71
25,07:30 - 07:45,0.57,0.3,0,0,0.63
26,07:45 - 08:00,0.58,0.19,0,0,0.34
27,08:00 - 08:15,0.59,0.38,0,0.01,0.39
28,08:15 - 08:30,0.56,0.32,0.04,0.14,0.54
29,08:30 - 08:45,0.89,0.3,0,0.08,0.41
30,08:45 - 09:00,0.6,0.41,0,0.09,0.41
31,>>> 6:00 - 9:00,0.58,0.21,0.03,0.03,0.46
32,09:00 - 09:15,0.6,0.05,0.02,0.19,0.55
33,09:15 - 09:30,0.71,0.01,0,0.24,0.66
34,09:30 - 09:45,0.46,0.16,0.01,0.2,0.68
35,09:45 - 10:00,0.38,0.19,0,0.19,0.5
36,10:00 - 10:15,0.44,0.33,0,0.23,0.52
37,10:15 - 10:30,0.46,0.45,0.02,0.28,0.84
38,10:30 - 10:45,0.39,0.91,0.03,0.33,0.79
39,10:45 - 11:00,0.38,0.89,0.04,0.15,0.49
40,11:00 - 11:15,0.43,0.77,0.06,0.27,0.59
41,11:15 - 11:30,0.5,0.62,0.11,0.38,0.68
42,11:30 - 11:45,0.82,0.33,0.15,0.13,0.58
43,11:45 - 12:00,0.85,0.47,0.12,0.19,0.37
44,>>> 9:00 - 12:00,0.54,0.43,0.05,0.23,0.6
45,12:00 - 12:15,1,0.49,0.08,0.31,0.52
46,12:15 - 12:30,0.84,0.94,0.1,0.77,0.29
47,12:30 - 12:45,0.86,0.6,0.08,0.32,0.27
48,12:45 - 13:00,0.79,0.79,0.08,0.15,0.39
49,13:00 - 13:15,0.6,0.65,0.09,0.1,0.34
50,13:15 - 13:30,0.69,0.66,0.08,0.26,0.55
51,13:30 - 13:45,0.7,0.78,0.07,0.19,0.45
52,13:45 - 14:00,0.77,0.76,0,0.15,0.37
53,14:00 - 14:15,0.83,0.69,0,0.33,0.34
54,14:15 - 14:30,0.87,0.65,0,0.34,0.36
55,14:30 - 14:45,0.73,0.44,0.05,0.22,0.35
56,14:45 - 15:00,0.8,0.5,0.14,0.02,0.28
57,>>> 12:00 - 15:00,0.79,0.66,0.07,0.26,0.38
58,15:00 - 15:15,1.02,0.72,0.02,0.15,0.42
59,15:15 - 15:30,0.93,0.67,0,0.08,0.32
60,15:30 - 15:45,0.62,0.69,0.2,0.14,0.34
61,15:45 - 16:00,0.62,0.64,0.07,0.18,0.09
62,>>> 15:00 - 16:00,0.8,0.68,0.07,0.14,0.29
63,16:00 - 16:15,0.63,0.66,0,0.06,0.51
64,16:15 - 16:30,0.72,0.8,0.01,0.25,0.46
65,16:30 - 16:45,0.77,0.62,0.04,0.11,0.49
66,16:45 - 17:00,0.88,0.67,0,0.11,0.36
67,17:00 - 17:15,0.82,0.68,0.05,0.33,0.09
68,17:15 - 17:30,0.6,0.84,0.01,0.15,0.13
69,17:30 - 17:45,0.56,0.82,0.05,0.06,0.33
70,17:45 - 18:00,0.5,0.47,0.13,0.02,0.39
71,18:00 - 18:15,0.66,0.59,0.23,0.3,0.47
72,18:15 - 18:30,0.63,1.01,0.21,0.28,0.88
73,18:30 - 18:45,0.93,1.43,0.16,0.23,0.74
74,18:45 - 19:00,0.58,1.31,0.27,0.46,1.11
75,>>> 16:00 - 19:00,0.69,0.82,0.1,0.2,0.5
76,19:00 - 19:15,0.4,0.82,0.33,0.37,0.91
77,19:15 - 19:30,0.51,0.95,0.09,0.41,0.74
78,19:30 - 19:45,0.52,1.02,0.13,0.35,0.63
79,19:45 - 20:00,0.8,0.95,0.01,0.42,0.58
80,>>> 19:00 - 20:00,0.55,0.93,0.14,0.39,0.71
81,20:00 - 20:15,0.88,1.03,0.02,0.37,0.44
