Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.41,0.0,0.11,0.0,0.0,0.1,0.21
02:15 - 02:30,4.99,0.0,0.11,0.0,0.0,0.02,0.21
02:30 - 02:45,4.32,0.0,0.11,0.0,0.0,0.0,0.21
02:45 - 03:00,3.96,0.0,0.11,0.0,0.0,0.0,0.21
03:00 - 03:15,3.53,0.0,0.11,0.0,0.0,0.0,0.21
03:15 - 03:30,3.25,0.0,0.11,0.0,0.0,0.0,0.21
03:30 - 03:45,2.8,0.0,0.11,0.0,0.0,0.0,0.18
03:45 - 04:00,2.43,0.0,0.11,0.0,0.0,0.0,0.09
04:00 - 04:15,2.39,0.0,0.11,0.0,0.0,0.0,0.09
04:15 - 04:30,2.37,0.05,0.11,0.0,0.0,0.0,0.09
04:30 - 04:45,2.26,0.09,0.11,0.0,0.0,0.0,0.05
04:45 - 05:00,1.71,0.03,0.01,0.0,0.0,0.0,0.0
05:00 - 05:15,1.64,0.0,0.0,0.0,0.0,0.0,0.0
05:15 - 05:30,1.67,0.0,0.0,0.0,0.0,0.0,0.0
05:30 - 05:45,1.84,0.0,0.0,0.0,0.0,0.05,0.0
05:45 - 06:00,2.51,0.09,0.01,0.0,0.0,0.08,0.0
06:00 - 06:15,3.1,0.11,0.0,0.0,0.0,0.06,0.25
06:15 - 06:30,3.93,0.07,0.0,0.01,0.0,0.0,0.42
06:30 - 06:45,4.38,0.0,0.09,0.0,0.0,0.07,0.56
06:45 - 07:00,5.44,0.1,0.0,0.03,0.0,0.12,0.5
07:00 - 07:15,6.97,0.24,0.0,0.0,0.0,0.21,0.63
07:15 - 07:30,7.91,0.48,0.0,0.0,0.01,0.23,0.43
07:30 - 07:45,8.85,0.4,0.03,0.0,0.11,0.32,0.43
07:45 - 08:00,8.6,0.37,0.13,0.01,0.06,0.23,0.36
08:00 - 08:15,8.77,0.23,0.3,0.01,0.0,0.15,0.31
08:15 - 08:30,9.17,0.22,0.47,0.02,0.0,0.26,0.14
08:30 - 08:45,9.27,0.27,1.02,0.0,0.0,0.17,0.16
08:45 - 09:00,8.92,0.33,0.68,0.0,0.0,0.12,0.37
09:00 - 09:15,9.47,0.31,0.54,0.03,0.0,0.17,0.51
09:15 - 09:30,10.2,0.18,0.69,0.0,0.0,0.11,0.82
09:30 - 09:45,10.03,0.18,0.63,0.04,0.0,0.04,0.37
09:45 - 10:00,9.46,0.24,0.26,0.08,0.0,0.11,0.26
10:00 - 10:15,9.78,0.25,0.27,0.01,0.0,0.18,0.37
10:15 - 10:30,10.02,0.2,0.57,0.04,0.0,0.25,0.56
10:30 - 10:45,10.07,0.2,0.59,0.05,0.0,0.15,0.58
10:45 - 11:00,10.11,0.16,0.66,0.05,0.0,0.11,0.44
11:00 - 11:15,10.29,0.1,0.72,0.0,0.0,0.11,0.59
11:15 - 11:30,10.09,0.1,0.7,0.0,0.0,0.17,0.9
11:30 - 11:45,9.34,0.06,0.6,0.04,0.0,0.22,0.64
11:45 - 12:00,9.19,0.28,0.52,0.01,0.0,0.05,0.54
12:00 - 12:15,9.32,0.39,0.47,0.0,0.0,0.01,0.83
12:15 - 12:30,9.68,0.37,0.35,0.03,0.0,0.0,0.9
12:30 - 12:45,10.23,0.8,0.6,0.0,0.0,0.21,0.5
12:45 - 13:00,10.14,0.48,0.7,0.01,0.0,0.0,0.49
13:00 - 13:15,10.44,0.32,0.57,0.0,0.04,0.06,0.6
13:15 - 13:30,10.61,0.24,0.59,0.0,0.05,0.16,0.65
13:30 - 13:45,11.09,0.24,0.6,0.0,0.0,0.0,0.97
13:45 - 14:00,11.29,0.28,0.57,0.0,0.0,0.01,0.5
14:00 - 14:15,11.33,0.31,0.68,0.0,0.0,0.01,0.6
14:15 - 14:30,11.95,0.36,0.89,0.0,0.0,0.0,0.57
14:30 - 14:45,11.7,0.39,0.82,0.0,0.0,0.0,0.29
14:45 - 15:00,11.81,0.39,0.75,0.01,0.0,0.0,0.29
15:00 - 15:15,11.58,0.36,0.74,0.03,0.03,0.11,0.34
15:15 - 15:30,11.39,0.31,0.69,0.19,0.02,0.21,0.34
15:30 - 15:45,11.63,0.4,0.69,0.01,0.0,0.18,0.45
15:45 - 16:00,12.68,0.37,0.62,0.0,0.02,0.1,0.39
16:00 - 16:15,13.35,0.43,0.52,0.0,0.0,0.25,0.76
16:15 - 16:30,13.39,0.43,0.48,0.01,0.0,0.42,1.07
16:30 - 16:45,13.18,0.38,0.22,0.02,0.03,0.32,1.07
16:45 - 17:00,13.87,0.3,0.22,0.0,0.08,0.24,0.96
17:00 - 17:15,14.02,0.39,0.46,0.0,0.08,0.23,0.59
17:15 - 17:30,14.99,0.32,0.52,0.01,0.08,0.23,0.71
17:30 - 17:45,16.29,0.31,0.41,0.04,0.08,0.29,0.76
17:45 - 18:00,17.38,0.55,0.39,0.05,0.04,0.52,0.5
18:00 - 18:15,19.57,0.66,0.5,0.0,0.0,0.77,0.43
18:15 - 18:30,21.84,0.65,0.6,0.0,0.0,0.63,0.57
18:30 - 18:45,23.45,0.76,1.03,0.01,0.0,0.44,0.46
18:45 - 19:00,23.6,0.72,0.96,0.01,0.0,0.44,0.57
19:00 - 19:15,26.14,0.47,1.02,0.0,0.0,0.21,0.51
19:15 - 19:30,28.57,0.42,0.85,0.06,0.0,0.31,0.8
19:30 - 19:45,29.61,0.81,0.97,0.06,0.0,0.34,0.54
19:45 - 20:00,31.29,1.33,0.86,0.27,0.0,0.37,0.73
20:00 - 20:15,33.0,1.59,1.17,0.09,0.01,0.58,0.7
20:15 - 20:30,33.69,1.23,1.2,0.04,0.04,0.53,0.86
20:30 - 20:45,34.94,0.83,0.99,0.07,0.01,0.46,0.95
20:45 - 21:00,35.24,0.68,1.28,0.08,0.05,0.47,0.6
21:00 - 21:15,34.92,0.53,1.38,0.07,0.0,0.44,0.48
21:15 - 21:30,34.44,0.79,1.47,0.1,0.0,0.43,0.51
21:30 - 21:45,33.47,0.56,1.0,0.08,0.12,0.24,0.57
21:45 - 22:00,31.97,0.48,1.15,0.08,0.1,0.23,0.43
22:00 - 22:15,30.8,0.41,0.9,0.01,0.0,0.2,0.53
22:15 - 22:30,29.61,0.48,0.66,0.0,0.0,0.24,0.71
22:30 - 22:45,27.69,0.55,0.97,0.01,0.0,0.21,0.76
22:45 - 23:00,25.31,0.26,0.76,0.02,0.02,0.29,0.4
23:00 - 23:15,23.44,0.32,1.08,0.02,0.0,0.27,0.63
23:15 - 23:30,21.4,0.26,1.06,0.01,0.0,0.2,0.45
23:30 - 23:45,19.47,0.25,0.77,0.0,0.0,0.27,0.4
23:45 - 24:00,17.06,0.2,0.58,0.0,0.0,0.22,0.34
24:00 - 24:15,14.54,0.17,0.69,0.01,0.0,0.24,0.35
24:15 - 24:30,12.81,0.3,0.74,0.01,0.0,0.14,0.32
24:30 - 24:45,10.92,0.26,0.69,0.0,0.0,0.15,0.3
24:45 - 25:00,10.46,0.19,0.56,0.05,0.04,0.16,0.28
25:00 - 25:15,9.31,0.2,0.45,0.05,0.0,0.05,0.29
