Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,4.65,0.0,0.08,0.0,0.0,0.34,0.27
02:15 - 02:30,4.13,0.0,0.03,0.0,0.0,0.12,0.36
02:30 - 02:45,3.78,0.0,0.0,0.0,0.0,0.12,0.36
02:45 - 03:00,3.79,0.01,0.03,0.0,0.0,0.09,0.36
03:00 - 03:15,3.47,0.0,0.02,0.0,0.0,0.0,0.39
03:15 - 03:30,3.34,0.0,0.13,0.0,0.0,0.0,0.35
03:30 - 03:45,2.89,0.0,0.18,0.0,0.0,0.0,0.27
03:45 - 04:00,2.55,0.01,0.18,0.01,0.0,0.0,0.19
04:00 - 04:15,2.44,0.0,0.18,0.0,0.0,0.0,0.12
04:15 - 04:30,2.37,0.0,0.18,0.0,0.0,0.0,0.12
04:30 - 04:45,2.51,0.0,0.14,0.0,0.0,0.0,0.12
04:45 - 05:00,2.47,0.0,0.11,0.0,0.0,0.0,0.12
05:00 - 05:15,2.46,0.01,0.17,0.04,0.0,0.0,0.12
05:15 - 05:30,2.73,0.0,0.17,0.0,0.0,0.0,0.12
05:30 - 05:45,2.91,0.04,0.13,0.0,0.0,0.0,0.12
05:45 - 06:00,3.82,0.23,0.16,0.0,0.0,0.02,0.12
06:00 - 06:15,4.14,0.06,0.17,0.0,0.0,0.0,0.19
06:15 - 06:30,4.86,0.12,0.08,0.0,0.01,0.0,0.33
06:30 - 06:45,5.32,0.17,0.04,0.05,0.0,0.0,0.35
06:45 - 07:00,6.8,0.31,0.0,0.01,0.0,0.0,0.44
07:00 - 07:15,8.39,0.27,0.03,0.0,0.0,0.01,0.45
07:15 - 07:30,8.89,0.36,0.0,0.0,0.01,0.06,0.47
07:30 - 07:45,9.81,0.55,0.01,0.0,0.0,0.22,0.52
07:45 - 08:00,9.11,0.47,0.11,0.0,0.0,0.0,0.45
08:00 - 08:15,9.16,0.33,0.33,0.02,0.0,0.0,0.2
08:15 - 08:30,9.78,0.33,0.37,0.03,0.0,0.01,0.06
08:30 - 08:45,9.93,0.39,0.32,0.03,0.0,0.04,0.06
08:45 - 09:00,10.37,0.32,0.29,0.01,0.0,0.0,0.12
09:00 - 09:15,10.42,0.33,0.19,0.0,0.0,0.03,0.36
09:15 - 09:30,10.13,0.31,0.13,0.0,0.0,0.04,0.74
09:30 - 09:45,10.03,0.31,0.11,0.0,0.0,0.02,0.6
09:45 - 10:00,9.18,0.26,0.14,0.04,0.0,0.01,0.15
10:00 - 10:15,9.25,0.28,0.16,0.08,0.0,0.13,0.17
10:15 - 10:30,9.62,0.2,0.16,0.07,0.0,0.11,0.27
10:30 - 10:45,9.24,0.06,0.16,0.07,0.0,0.0,0.15
10:45 - 11:00,9.25,0.08,0.13,0.07,0.0,0.04,0.15
11:00 - 11:15,9.62,0.07,0.1,0.07,0.0,0.08,0.43
11:15 - 11:30,9.37,0.3,0.14,0.07,0.0,0.09,0.55
11:30 - 11:45,9.12,0.51,0.16,0.06,0.0,0.08,0.52
11:45 - 12:00,8.89,0.42,0.26,0.0,0.0,0.08,0.39
12:00 - 12:15,8.44,0.36,0.08,0.0,0.0,0.08,0.44
12:15 - 12:30,8.39,0.33,0.09,0.0,0.0,0.08,0.48
12:30 - 12:45,8.36,0.38,0.13,0.02,0.0,0.15,0.54
12:45 - 13:00,8.24,0.37,0.13,0.0,0.0,0.11,0.45
13:00 - 13:15,8.2,0.32,0.24,0.0,0.0,0.08,0.49
13:15 - 13:30,8.72,0.32,0.24,0.0,0.0,0.1,0.82
13:30 - 13:45,8.81,0.28,0.24,0.01,0.0,0.12,0.89
13:45 - 14:00,8.69,0.09,0.25,0.0,0.01,0.04,0.74
14:00 - 14:15,9.39,0.08,0.17,0.0,0.0,0.0,0.84
14:15 - 14:30,9.49,0.12,0.23,0.0,0.01,0.0,0.85
14:30 - 14:45,9.3,0.14,0.27,0.0,0.03,0.0,0.69
14:45 - 15:00,10.17,0.24,0.59,0.0,0.0,0.0,0.47
15:00 - 15:15,10.19,0.45,0.71,0.05,0.0,0.04,0.42
15:15 - 15:30,10.24,0.21,0.55,0.02,0.0,0.11,0.38
15:30 - 15:45,10.29,0.13,0.52,0.15,0.0,0.04,0.41
15:45 - 16:00,10.73,0.05,0.48,0.08,0.0,0.0,0.29
16:00 - 16:15,11.42,0.02,0.48,0.0,0.0,0.0,0.33
16:15 - 16:30,11.88,0.08,0.59,0.0,0.0,0.01,0.36
16:30 - 16:45,12.5,0.1,0.57,0.0,0.02,0.11,0.41
16:45 - 17:00,13.06,0.28,0.47,0.0,0.0,0.12,0.39
17:00 - 17:15,14.96,0.21,0.48,0.05,0.0,0.15,0.3
17:15 - 17:30,15.45,0.19,0.52,0.04,0.0,0.09,0.39
17:30 - 17:45,16.27,0.14,0.7,0.02,0.0,0.1,0.41
17:45 - 18:00,17.44,0.27,0.41,0.03,0.0,0.16,0.49
18:00 - 18:15,18.06,0.54,0.37,0.0,0.0,0.31,0.3
18:15 - 18:30,18.57,0.55,0.35,0.07,0.0,0.25,0.38
18:30 - 18:45,20.2,0.53,0.57,0.07,0.0,0.43,0.51
18:45 - 19:00,22.08,0.69,0.54,0.07,0.0,0.52,0.38
19:00 - 19:15,25.25,0.46,0.56,0.11,0.0,0.35,0.24
19:15 - 19:30,27.69,0.66,0.67,0.04,0.0,0.19,0.3
19:30 - 19:45,29.58,0.77,0.76,0.05,0.03,0.15,0.28
19:45 - 20:00,29.85,0.9,0.7,0.14,0.15,0.15,0.38
20:00 - 20:15,29.66,0.73,0.77,0.19,0.15,0.17,0.68
20:15 - 20:30,29.51,0.89,0.96,0.02,0.05,0.09,0.81
20:30 - 20:45,31.18,0.96,0.58,0.03,0.0,0.05,0.77
20:45 - 21:00,33.12,1.13,0.76,0.0,0.0,0.02,0.48
21:00 - 21:15,34.26,1.16,0.85,0.02,0.03,0.05,0.41
21:15 - 21:30,33.68,1.37,0.41,0.02,0.04,0.25,0.37
21:30 - 21:45,32.24,0.92,0.72,0.0,0.1,0.22,0.46
21:45 - 22:00,30.5,1.02,0.68,0.0,0.17,0.31,0.43
22:00 - 22:15,30.16,0.83,0.62,0.0,0.1,0.32,0.56
22:15 - 22:30,29.97,0.74,1.02,0.06,0.0,0.29,0.47
22:30 - 22:45,29.32,0.58,1.2,0.07,0.0,0.25,0.43
22:45 - 23:00,27.01,0.28,0.62,0.03,0.01,0.44,0.15
23:00 - 23:15,24.98,0.12,0.58,0.12,0.02,0.4,0.97
23:15 - 23:30,23.49,0.01,0.47,0.12,0.0,0.4,0.5
23:30 - 23:45,21.75,0.07,0.42,0.1,0.0,0.38,0.52
23:45 - 24:00,19.1,0.05,0.33,0.11,0.0,0.48,0.66
24:00 - 24:15,15.42,0.16,0.33,0.11,0.0,0.55,0.84
24:15 - 24:30,13.58,0.2,0.36,0.1,0.0,0.34,0.85
24:30 - 24:45,12.2,0.18,0.37,0.02,0.0,0.12,0.81
24:45 - 25:00,10.07,0.11,0.3,0.05,0.0,0.08,0.77
25:00 - 25:15,9.09,0.22,0.19,0.1,0.0,0.06,0.63
25:15 - 25:30,8.42,0.19,0.13,0.01,0.1,0.0,0.58
25:30 - 25:45,7.36,0.16,0.09,0.0,0.0,0.0,0.58
25:45 - 26:00,6.64,0.08,0.01,0.0,0.0,0.0,0.57
Whole day,13.08,0.31,0.33,0.03,0.01,0.11,0.43
06:00,4.28,0.0,0.28,0.0,0.0,0.0,0.12
06:01,4.14,0.0,0.19,0.0,0.0,0.0,0.21
06:02,4.14,0.0,0.19,0.0,0.0,0.0,0.21
06:03,4.06,0.0,0.19,0.0,0.0,0.0,0.12
06:04,4.06,0.0,0.19,0.0,0.0,0.0,0.12
06:05,3.97,0.0,0.19,0.0,0.0,0.0,0.12
06:06,4.05,0.0,0.19,0.0,0.0,0.0,0.21
06:07,4.05,0.0,0.19,0.0,0.0,0.0,0.21
06:08,4.05,0.0,0.19,0.0,0.0,0.0,0.21
06:09,4.2,0.15,0.19,0.0,0.0,0.0,0.21
06:10,4.12,0.15,0.11,0.0,0.0,0.0,0.21
06:11,4.12,0.15,0.11,0.0,0.0,0.0,0.21
06:12,4.21,0.15,0.11,0.0,0.0,0.0,0.21
06:13,4.28,0.15,0.11,0.0,0.0,0.0,0.21
06:14,4.35,0.15,0.11,0.0,0.0,0.0,0.21
06:15,4.35,0.15,0.11,0.0,0.0,0.0,0.21
06:16,4.31,0.15,0.11,0.0,0.0,0.0,0.33
06:17,4.48,0.15,0.11,0.0,0.0,0.0,0.33
06:18,4.63,0.15,0.11,0.0,0.15,0.0,0.33
06:19,4.9,0.15,0.11,0.0,0.0,0.0,0.33
06:20,4.8,0.15,0.11,0.0,0.0,0.0,0.33
06:21,4.96,0.0,0.11,0.0,0.0,0.0,0.33
06:22,4.96,0.0,0.11,0.0,0.0,0.0,0.33
06:23,4.96,0.0,0.11,0.0,0.0,0.0,0.33
06:24,5.03,0.11,0.11,0.0,0.0,0.0,0.33
06:25,5.15,0.23,0.11,0.0,0.0,0.0,0.33
