Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.46,0.13,0.09,0.0,0.0,0.1,0.1
02:15 - 02:30,5.31,0.12,0.13,0.0,0.0,0.11,0.05
02:30 - 02:45,4.76,0.12,0.18,0.18,0.0,0.1,0.0
02:45 - 03:00,4.1,0.12,0.06,0.29,0.0,0.1,0.0
03:00 - 03:15,3.71,0.12,0.0,0.29,0.0,0.1,0.0
03:15 - 03:30,3.65,0.12,0.07,0.29,0.0,0.1,0.1
03:30 - 03:45,3.15,0.03,0.01,0.29,0.0,0.1,0.11
03:45 - 04:00,2.96,0.0,0.1,0.29,0.0,0.1,0.11
04:00 - 04:15,2.88,0.0,0.1,0.29,0.0,0.1,0.11
04:15 - 04:30,2.71,0.0,0.04,0.33,0.0,0.1,0.1
04:30 - 04:45,2.77,0.04,0.0,0.35,0.0,0.1,0.0
04:45 - 05:00,2.98,0.02,0.01,0.35,0.0,0.11,0.02
05:00 - 05:15,3.09,0.0,0.0,0.38,0.0,0.05,0.08
05:15 - 05:30,3.05,0.0,0.0,0.29,0.0,0.0,0.29
05:30 - 05:45,3.47,0.0,0.0,0.26,0.0,0.0,0.26
05:45 - 06:00,4.09,0.1,0.0,0.0,0.0,0.0,0.26
06:00 - 06:15,5.23,0.12,0.13,0.0,0.0,0.0,0.32
06:15 - 06:30,6.19,0.19,0.25,0.01,0.0,0.0,0.3
06:30 - 06:45,6.5,0.14,0.37,0.01,0.0,0.0,0.3
06:45 - 07:00,7.55,0.26,0.27,0.0,0.0,0.0,0.28
07:00 - 07:15,9.07,0.3,0.2,0.01,0.05,0.0,0.32
07:15 - 07:30,8.67,0.22,0.19,0.04,0.04,0.01,0.44
07:30 - 07:45,8.39,0.51,0.19,0.0,0.0,0.01,0.57
07:45 - 08:00,8.57,0.4,0.05,0.0,0.0,0.0,0.67
08:00 - 08:15,9.37,0.3,0.19,0.0,0.0,0.02,0.79
08:15 - 08:30,9.86,0.31,0.26,0.0,0.03,0.07,0.46
08:30 - 08:45,11.01,0.27,0.1,0.02,0.0,0.11,0.43
08:45 - 09:00,11.2,0.19,0.07,0.09,0.0,0.11,0.4
09:00 - 09:15,11.42,0.28,0.0,0.09,0.0,0.17,0.49
09:15 - 09:30,11.78,0.38,0.21,0.09,0.0,0.38,0.58
09:30 - 09:45,11.56,0.24,0.23,0.09,0.0,0.32,0.56
09:45 - 10:00,10.83,0.18,0.2,0.09,0.0,0.21,0.57
10:00 - 10:15,10.89,0.27,0.2,0.1,0.0,0.23,0.53
10:15 - 10:30,10.99,0.28,0.23,0.09,0.0,0.23,0.84
10:30 - 10:45,10.51,0.2,0.26,0.09,0.0,0.21,0.35
10:45 - 11:00,9.35,0.2,0.3,0.09,0.0,0.21,0.27
11:00 - 11:15,8.98,0.31,0.33,0.09,0.0,0.1,0.35
11:15 - 11:30,9.29,0.54,0.24,0.02,0.0,0.0,0.43
11:30 - 11:45,8.87,0.57,0.33,0.0,0.0,0.01,0.26
11:45 - 12:00,8.86,0.61,0.38,0.01,0.0,0.01,0.17
12:00 - 12:15,9.33,0.61,0.43,0.02,0.0,0.0,0.45
12:15 - 12:30,9.42,0.6,0.48,0.08,0.0,0.0,0.45
12:30 - 12:45,8.96,0.83,0.62,0.06,0.0,0.0,0.24
12:45 - 13:00,8.77,0.49,0.51,0.02,0.0,0.13,0.14
13:00 - 13:15,9.19,0.3,0.36,0.0,0.0,0.04,0.35
13:15 - 13:30,9.82,0.3,0.28,0.0,0.0,0.14,0.42
13:30 - 13:45,9.83,0.3,0.24,0.01,0.0,0.17,0.65
13:45 - 14:00,10.14,0.3,0.76,0.0,0.0,0.11,0.74
14:00 - 14:15,9.88,0.46,0.81,0.02,0.0,0.12,0.65
14:15 - 14:30,9.22,0.73,0.45,0.08,0.0,0.12,0.75
14:30 - 14:45,9.65,0.54,0.51,0.08,0.0,0.25,0.69
14:45 - 15:00,9.67,0.51,0.66,0.03,0.0,0.12,0.4
15:00 - 15:15,9.3,0.3,0.91,0.0,0.0,0.09,0.36
15:15 - 15:30,9.3,0.29,0.6,0.01,0.0,0.19,0.4
15:30 - 15:45,9.52,0.41,0.62,0.02,0.0,0.19,0.41
15:45 - 16:00,9.81,0.61,0.63,0.0,0.0,0.19,0.42
16:00 - 16:15,10.27,0.4,0.55,0.0,0.0,0.19,0.48
16:15 - 16:30,10.71,0.53,0.37,0.01,0.0,0.22,0.5
16:30 - 16:45,11.04,0.5,0.23,0.08,0.0,0.19,0.39
16:45 - 17:00,11.0,0.49,0.31,0.02,0.0,0.26,0.43
17:00 - 17:15,12.12,0.5,0.6,0.0,0.0,0.16,0.34
17:15 - 17:30,12.87,0.64,0.6,0.0,0.0,0.13,0.22
17:30 - 17:45,13.86,0.62,0.55,0.0,0.01,0.2,0.46
17:45 - 18:00,14.92,0.61,0.46,0.04,0.0,0.3,0.24
18:00 - 18:15,16.68,0.75,0.43,0.08,0.0,0.16,0.35
18:15 - 18:30,17.52,0.93,0.52,0.08,0.01,0.21,0.31
18:30 - 18:45,18.37,0.79,0.48,0.08,0.0,0.16,0.68
18:45 - 19:00,20.06,0.5,0.3,0.02,0.0,0.17,1.08
19:00 - 19:15,23.1,0.45,0.39,0.01,0.0,0.21,0.71
19:15 - 19:30,26.04,0.46,0.53,0.03,0.0,0.22,0.58
19:30 - 19:45,27.75,0.35,0.45,0.13,0.0,0.23,0.51
