Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.51,0.1,0.32,0.0,0.0,0.0,0.28
02:15 - 02:30,4.92,0.07,0.25,0.0,0.0,0.0,0.11
02:30 - 02:45,4.51,0.02,0.31,0.0,0.0,0.0,0.11
02:45 - 03:00,3.99,0.0,0.33,0.0,0.0,0.0,0.11
03:00 - 03:15,3.25,0.0,0.14,0.0,0.0,0.0,0.08
03:15 - 03:30,2.73,0.05,0.0,0.0,0.0,0.0,0.0
03:30 - 03:45,2.41,0.08,0.08,0.0,0.0,0.0,0.0
03:45 - 04:00,2.27,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 04:15,2.3,0.0,0.0,0.0,0.0,0.0,0.0
04:15 - 04:30,2.26,0.0,0.0,0.0,0.0,0.0,0.0
04:30 - 04:45,2.47,0.01,0.0,0.03,0.0,0.0,0.0
04:45 - 05:00,2.73,0.0,0.04,0.0,0.0,0.01,0.01
05:00 - 05:15,2.82,0.0,0.07,0.0,0.0,0.0,0.09
05:15 - 05:30,2.87,0.0,0.0,0.04,0.0,0.0,0.14
05:30 - 05:45,2.76,0.11,0.0,0.0,0.0,0.0,0.11
05:45 - 06:00,3.07,0.11,0.0,0.0,0.0,0.0,0.06
06:00 - 06:15,3.07,0.24,0.0,0.0,0.0,0.0,0.04
06:15 - 06:30,3.71,0.2,0.02,0.0,0.0,0.0,0.18
06:30 - 06:45,4.5,0.12,0.08,0.0,0.0,0.0,0.25
06:45 - 07:00,5.2,0.06,0.37,0.0,0.0,0.01,0.25
07:00 - 07:15,6.65,0.01,0.33,0.0,0.0,0.0,0.29
07:15 - 07:30,8.21,0.0,0.38,0.0,0.0,0.02,0.3
07:30 - 07:45,7.97,0.07,0.47,0.0,0.0,0.0,0.33
07:45 - 08:00,8.39,0.16,0.52,0.0,0.0,0.02,0.49
08:00 - 08:15,9.3,0.23,0.4,0.0,0.0,0.0,0.45
08:15 - 08:30,10.04,0.12,0.14,0.0,0.0,0.04,0.72
08:30 - 08:45,10.31,0.25,0.51,0.02,0.0,0.07,0.35
08:45 - 09:00,10.4,0.3,0.1,0.0,0.03,0.0,0.24
09:00 - 09:15,10.09,0.22,0.13,0.0,0.0,0.0,0.27
09:15 - 09:30,9.68,0.15,0.25,0.0,0.0,0.01,0.4
09:30 - 09:45,9.84,0.36,0.28,0.01,0.0,0.0,0.39
09:45 - 10:00,9.92,0.37,0.44,0.02,0.0,0.01,0.13
10:00 - 10:15,9.84,0.62,0.32,0.0,0.0,0.02,0.31
10:15 - 10:30,9.8,0.7,0.37,0.01,0.0,0.19,0.13
10:30 - 10:45,9.79,1.11,0.42,0.03,0.0,0.0,0.28
10:45 - 11:00,9.59,1.01,0.32,0.0,0.0,0.0,0.22
11:00 - 11:15,10.06,1.06,0.21,0.07,0.0,0.07,0.68
11:15 - 11:30,10.41,1.01,0.21,0.08,0.0,0.16,1.11
11:30 - 11:45,10.05,0.89,0.71,0.09,0.0,0.22,0.26
11:45 - 12:00,10.2,0.55,0.65,0.11,0.0,0.08,0.08
12:00 - 12:15,10.36,0.55,0.73,0.15,0.0,0.06,0.46
