Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.0,0.11,0.08,0.0,0.0,0.0,0.12
02:15 - 02:30,5.58,0.19,0.08,0.0,0.0,0.0,0.11
02:30 - 02:45,5.46,0.24,0.13,0.0,0.0,0.01,0.15
02:45 - 03:00,5.08,0.23,0.1,0.0,0.0,0.0,0.12
03:00 - 03:15,4.51,0.27,0.14,0.0,0.0,0.0,0.11
03:15 - 03:30,4.07,0.27,0.18,0.0,0.0,0.0,0.11
03:30 - 03:45,3.73,0.27,0.16,0.0,0.0,0.0,0.11
03:45 - 04:00,3.65,0.27,0.16,0.0,0.0,0.0,0.12
04:00 - 04:15,3.64,0.27,0.11,0.0,0.0,0.0,0.11
04:15 - 04:30,3.44,0.19,0.13,0.0,0.0,0.0,0.11
04:30 - 04:45,3.47,0.16,0.23,0.0,0.0,0.0,0.12
04:45 - 05:00,3.48,0.16,0.15,0.0,0.0,0.06,0.13
05:00 - 05:15,3.74,0.16,0.19,0.0,0.0,0.0,0.21
05:15 - 05:30,3.64,0.16,0.17,0.0,0.0,0.0,0.14
05:30 - 05:45,3.94,0.27,0.08,0.01,0.0,0.0,0.11
05:45 - 06:00,4.26,0.38,0.18,0.0,0.0,0.0,0.11
06:00 - 06:15,5.25,0.22,0.18,0.02,0.0,0.0,0.16
06:15 - 06:30,5.94,0.14,0.12,0.0,0.0,0.0,0.37
06:30 - 06:45,6.82,0.16,0.26,0.03,0.0,0.0,0.31
06:45 - 07:00,7.77,0.1,0.5,0.0,0.0,0.0,0.0
07:00 - 07:15,9.27,0.17,0.39,0.0,0.0,0.0,0.31
07:15 - 07:30,10.21,0.18,0.21,0.0,0.0,0.0,0.2
07:30 - 07:45,9.63,0.15,0.19,0.0,0.0,0.06,0.11
07:45 - 08:00,10.02,0.25,0.29,0.0,0.0,0.0,0.36
08:00 - 08:15,9.99,0.08,0.38,0.0,0.0,0.01,0.74
08:15 - 08:30,9.87,0.04,0.36,0.01,0.0,0.01,0.65
08:30 - 08:45,10.13,0.14,0.55,0.0,0.0,0.0,0.6
08:45 - 09:00,10.37,0.08,0.44,0.0,0.0,0.0,0.42
09:00 - 09:15,10.35,0.13,0.63,0.0,0.0,0.0,0.47
09:15 - 09:30,10.43,0.3,0.77,0.0,0.0,0.02,0.64
09:30 - 09:45,10.01,0.19,0.62,0.0,0.08,0.16,0.53
09:45 - 10:00,9.28,0.17,0.52,0.0,0.09,0.0,0.4
10:00 - 10:15,9.21,0.19,0.47,0.0,0.09,0.01,0.73
10:15 - 10:30,9.25,0.11,0.46,0.0,0.09,0.0,0.7
10:30 - 10:45,9.33,0.11,0.2,0.04,0.09,0.0,0.42
10:45 - 11:00,8.98,0.06,0.3,0.0,0.08,0.0,0.39
11:00 - 11:15,9.15,0.04,0.31,0.0,0.0,0.05,0.39
11:15 - 11:30,9.06,0.08,0.24,0.0,0.0,0.03,0.39
11:30 - 11:45,8.61,0.06,0.29,0.0,0.0,0.01,0.39
11:45 - 12:00,8.81,0.0,0.3,0.01,0.0,0.02,0.39
12:00 - 12:15,8.24,0.0,0.31,0.0,0.0,0.0,0.51
12:15 - 12:30,8.17,0.0,0.4,0.0,0.0,0.0,0.5
12:30 - 12:45,8.39,0.1,0.6,0.01,0.0,0.07,0.63
12:45 - 13:00,8.78,0.04,0.64,0.0,0.0,0.03,0.52
13:00 - 13:15,9.3,0.02,0.43,0.0,0.0,0.12,0.66
13:15 - 13:30,9.87,0.21,0.35,0.0,0.0,0.33,0.77
13:30 - 13:45,9.13,0.31,0.2,0.0,0.05,0.35,0.65
13:45 - 14:00,8.54,0.29,0.08,0.0,0.0,0.2,0.57
14:00 - 14:15,8.96,0.25,0.06,0.0,0.0,0.04,1.04
14:15 - 14:30,8.95,0.2,0.21,0.0,0.0,0.0,1.09
14:30 - 14:45,8.98,0.27,0.28,0.0,0.0,0.0,1.09
14:45 - 15:00,9.27,0.35,0.51,0.01,0.0,0.03,0.62
15:00 - 15:15,9.4,0.39,0.39,0.07,0.0,0.19,1.04
15:15 - 15:30,9.61,0.31,0.28,0.07,0.0,0.12,1.01
15:30 - 15:45,9.42,0.14,0.33,0.06,0.0,0.05,0.57
15:45 - 16:00,9.47,0.09,0.43,0.0,0.0,0.03,0.48
16:00 - 16:15,9.83,0.13,0.71,0.02,0.0,0.12,0.37
16:15 - 16:30,10.35,0.13,0.54,0.01,0.0,0.14,0.42
16:30 - 16:45,11.06,0.13,0.49,0.01,0.02,0.17,0.6
16:45 - 17:00,12.14,0.26,0.53,0.01,0.0,0.07,0.56
17:00 - 17:15,13.14,0.31,0.59,0.02,0.0,0.08,0.52
17:15 - 17:30,13.73,0.21,0.53,0.07,0.0,0.29,0.47
17:30 - 17:45,13.84,0.26,0.33,0.09,0.0,0.22,0.46
17:45 - 18:00,15.0,0.23,0.4,0.2,0.0,0.31,0.47
18:00 - 18:15,16.83,0.3,0.61,0.29,0.0,0.18,0.66
18:15 - 18:30,17.88,0.3,0.77,0.12,0.0,0.28,0.62
18:30 - 18:45,19.0,0.35,0.76,0.19,0.0,0.1,0.62
18:45 - 19:00,21.62,0.3,0.54,0.1,0.0,0.21,0.57
19:00 - 19:15,25.13,0.24,0.47,0.14,0.0,0.28,0.39
19:15 - 19:30,26.79,0.34,0.39,0.02,0.0,0.15,0.25
19:30 - 19:45,27.58,0.55,0.34,0.05,0.0,0.21,0.3
19:45 - 20:00,26.93,0.63,0.33,0.07,0.01,0.4,0.29
20:00 - 20:15,27.82,0.81,0.8,0.1,0.0,0.58,0.29
20:15 - 20:30,29.33,0.95,1.3,0.03,0.0,0.45,0.41
20:30 - 20:45,32.45,0.87,0.95,0.01,0.0,0.31,1.07
20:45 - 21:00,33.56,1.06,0.87,0.04,0.03,0.33,0.75
21:00 - 21:15,34.29,1.15,1.17,0.0,0.0,0.39,0.8
21:15 - 21:30,33.84,1.06,1.37,0.01,0.0,0.43,0.87
21:30 - 21:45,33.67,0.43,1.57,0.0,0.0,0.36,0.92
21:45 - 22:00,33.27,0.24,1.53,0.05,0.0,0.25,0.4
22:00 - 22:15,32.77,0.36,1.25,0.01,0.0,0.42,0.29
22:15 - 22:30,32.04,0.34,1.14,0.0,0.0,0.48,0.35
22:30 - 22:45,29.97,0.2,1.02,0.0,0.01,0.42,0.34
22:45 - 23:00,28.46,0.14,0.76,0.02,0.01,0.28,0.34
23:00 - 23:15,27.59,0.1,0.72,0.01,0.03,0.09,0.19
23:15 - 23:30,24.94,0.17,0.75,0.0,0.0,0.19,0.38
23:30 - 23:45,22.11,0.31,0.67,0.09,0.0,0.23,0.61
23:45 - 24:00,19.04,0.18,0.61,0.11,0.0,0.24,0.87
24:00 - 24:15,14.28,0.17,0.61,0.1,0.0,0.15,0.65
24:15 - 24:30,12.65,0.08,0.63,0.0,0.0,0.11,0.55
24:30 - 24:45,11.02,0.13,0.62,0.0,0.0,0.03,0.63
24:45 - 25:00,9.85,0.13,0.43,0.0,0.0,0.04,0.61
25:00 - 25:15,9.08,0.06,0.37,0.08,0.0,0.14,0.55
25:15 - 25:30,7.79,0.08,0.26,0.08,0.0,0.14,0.55
25:30 - 25:45,6.92,0.06,0.23,0.08,0.0,0.21,0.55
25:45 - 26:00,6.15,0.09,0.12,0.1,0.0,0.21,0.53
Whole day,13.16,0.25,0.47,0.03,0.01,0.12,0.47
06:00,5.21,0.38,0.26,0.0,0.0,0.0,0.11
06:01,5.21,0.38,0.26,0.0,0.0,0.0,0.11
06:02,5.21,0.27,0.26,0.0,0.0,0.0,0.11
06:03,5.21,0.27,0.26,0.0,0.0,0.0,0.11
06:04,5.29,0.27,0.26,0.0,0.0,0.0,0.11
06:05,5.19,0.27,0.26,0.0,0.0,0.0,0.11
06:06,5.21,0.19,0.26,0.0,0.0,0.0,0.11
06:07,5.22,0.19,0.26,0.0,0.0,0.0,0.11
06:08,5.22,0.19,0.26,0.0,0.0,0.0,0.11
06:09,5.22,0.19,0.26,0.0,0.0,0.0,0.11
06:10,5.35,0.19,0.08,0.0,0.0,0.0,0.11
06:11,5.18,0.11,0.0,0.28,0.0,0.0,0.11
06:12,5.18,0.11,0.0,0.0,0.0,0.0,0.38
06:13,5.37,0.11,0.0,0.0,0.0,0.0,0.38
06:14,5.55,0.21,0.0,0.0,0.0,0.0,0.38
06:15,5.66,0.21,0.0,0.0,0.0,0.0,0.38
06:16,5.66,0.21,0.0,0.0,0.0,0.0,0.38
06:17,5.85,0.21,0.0,0.0,0.0,0.0,0.38
06:18,5.95,0.11,0.0,0.0,0.0,0.0,0.38
06:19,6.04,0.11,0.0,0.0,0.0,0.0,0.38
06:20,5.63,0.11,0.0,0.0,0.0,0.0,0.38
06:21,5.63,0.11,0.19,0.0,0.0,0.0,0.28
06:22,6.15,0.11,0.19,0.0,0.0,0.0,0.52
06:23,6.14,0.11,0.27,0.0,0.0,0.0,0.52
06:24,6.05,0.11,0.27,0.0,0.0,0.0,0.52
06:25,6.05,0.11,0.19,0.0,0.0,0.0,0.28
06:26,6.05,0.11,0.19,0.0,0.0,0.0,0.28
06:27,6.05,0.11,0.19,0.0,0.0,0.0,0.28
06:28,6.12,0.11,0.19,0.0,0.0,0.0,0.28
06:29,6.15,0.21,0.19,0.0,0.0,0.0,0.28
06:30,6.25,0.21,0.19,0.0,0.0,0.0,0.37
