Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.83,0.27,0.08,0.08,0.0,0.23,0.36
02:15 - 02:30,5.85,0.29,0.1,0.08,0.0,0.23,0.37
02:30 - 02:45,5.61,0.21,0.08,0.08,0.0,0.23,0.36
02:45 - 03:00,5.05,0.19,0.08,0.08,0.0,0.23,0.28
03:00 - 03:15,4.37,0.09,0.08,0.08,0.0,0.23,0.25
03:15 - 03:30,3.81,0.14,0.08,0.08,0.0,0.23,0.25
03:30 - 03:45,3.29,0.14,0.08,0.08,0.0,0.23,0.05
03:45 - 04:00,2.83,0.0,0.11,0.08,0.0,0.15,0.0
04:00 - 04:15,2.43,0.0,0.13,0.08,0.0,0.15,0.0
04:15 - 04:30,2.47,0.04,0.14,0.08,0.0,0.15,0.0
04:30 - 04:45,2.97,0.09,0.21,0.08,0.03,0.15,0.0
04:45 - 05:00,3.15,0.08,0.21,0.08,0.0,0.15,0.01
05:00 - 05:15,3.23,0.08,0.21,0.02,0.0,0.08,0.0
05:15 - 05:30,2.98,0.08,0.21,0.02,0.0,0.03,0.0
05:30 - 05:45,2.97,0.08,0.19,0.0,0.0,0.0,0.0
05:45 - 06:00,3.71,0.2,0.19,0.0,0.0,0.07,0.0
06:00 - 06:15,4.56,0.31,0.13,0.0,0.0,0.08,0.0
06:15 - 06:30,4.77,0.2,0.33,0.0,0.04,0.08,0.0
06:30 - 06:45,5.54,0.09,0.33,0.0,0.0,0.08,0.11
06:45 - 07:00,6.47,0.21,0.36,0.03,0.0,0.08,0.11
07:00 - 07:15,7.25,0.2,0.31,0.02,0.0,0.08,0.32
07:15 - 07:30,8.44,0.22,0.31,0.03,0.0,0.01,0.32
07:30 - 07:45,8.32,0.23,0.37,0.02,0.0,0.0,0.43
07:45 - 08:00,8.52,0.24,0.27,0.0,0.0,0.0,0.2
08:00 - 08:15,8.81,0.13,0.22,0.01,0.0,0.0,0.19
08:15 - 08:30,9.67,0.3,0.48,0.02,0.04,0.0,0.19
08:30 - 08:45,9.69,0.15,0.42,0.06,0.0,0.0,0.17
08:45 - 09:00,10.18,0.15,0.34,0.0,0.0,0.0,0.11
09:00 - 09:15,10.46,0.15,0.65,0.0,0.0,0.01,0.16
09:15 - 09:30,10.49,0.16,0.7,0.0,0.0,0.0,0.3
09:30 - 09:45,10.36,0.02,0.73,0.0,0.0,0.0,0.28
09:45 - 10:00,9.93,0.15,0.42,0.0,0.0,0.02,0.16
10:00 - 10:15,9.89,0.07,0.27,0.01,0.0,0.07,0.29
10:15 - 10:30,9.68,0.0,0.27,0.0,0.0,0.16,0.36
10:30 - 10:45,10.03,0.02,0.36,0.0,0.0,0.02,0.39
10:45 - 11:00,9.76,0.13,0.25,0.0,0.0,0.01,0.31
11:00 - 11:15,10.4,0.2,0.46,0.01,0.0,0.0,0.63
11:15 - 11:30,10.24,0.37,0.2,0.09,0.0,0.11,0.83
11:30 - 11:45,10.36,0.48,0.62,0.09,0.0,0.11,0.46
11:45 - 12:00,9.79,0.48,0.45,0.09,0.0,0.08,0.21
12:00 - 12:15,10.22,0.44,0.13,0.1,0.0,0.15,0.8
12:15 - 12:30,10.07,0.36,0.02,0.09,0.0,0.15,0.88
12:30 - 12:45,10.26,0.35,0.26,0.09,0.0,0.16,0.81
12:45 - 13:00,10.48,0.33,0.22,0.07,0.0,0.23,1.07
13:00 - 13:15,10.78,0.3,0.28,0.01,0.0,0.2,0.73
13:15 - 13:30,10.19,0.41,0.3,0.0,0.0,0.16,0.83
13:30 - 13:45,9.5,0.44,0.36,0.0,0.0,0.11,0.65
13:45 - 14:00,9.55,0.42,0.35,0.0,0.0,0.06,0.65
14:00 - 14:15,9.91,0.56,0.49,0.0,0.0,0.29,0.51
14:15 - 14:30,9.74,0.61,0.3,0.0,0.0,0.38,0.65
14:30 - 14:45,9.44,0.35,0.44,0.0,0.0,0.3,0.43
14:45 - 15:00,10.0,0.49,0.49,0.0,0.0,0.04,0.32
15:00 - 15:15,10.2,0.33,0.49,0.0,0.0,0.15,0.41
15:15 - 15:30,10.09,0.26,0.51,0.0,0.0,0.17,0.32
15:30 - 15:45,10.31,0.07,0.44,0.1,0.0,0.13,0.48
15:45 - 16:00,10.77,0.0,0.48,0.11,0.0,0.1,0.47
16:00 - 16:15,11.55,0.0,0.45,0.11,0.0,0.18,0.88
16:15 - 16:30,11.93,0.13,0.51,0.13,0.0,0.28,0.84
16:30 - 16:45,12.75,0.21,0.49,0.07,0.01,0.15,0.99
16:45 - 17:00,13.68,0.15,0.58,0.0,0.0,0.29,0.63
17:00 - 17:15,14.11,0.17,0.54,0.0,0.0,0.2,0.49
17:15 - 17:30,15.77,0.22,0.65,0.0,0.0,0.19,0.44
17:30 - 17:45,16.78,0.18,0.7,0.0,0.0,0.2,0.48
17:45 - 18:00,17.65,0.17,0.69,0.16,0.0,0.3,0.46
18:00 - 18:15,18.11,0.49,0.76,0.06,0.0,0.33,0.62
18:15 - 18:30,18.28,0.38,0.63,0.07,0.01,0.37,0.39
18:30 - 18:45,19.55,0.65,0.52,0.1,0.0,0.19,0.4
18:45 - 19:00,21.79,0.39,0.33,0.07,0.0,0.23,0.41
19:00 - 19:15,24.18,0.12,0.24,0.2,0.0,0.19,0.31
19:15 - 19:30,25.52,0.14,0.3,0.11,0.0,0.19,0.47
19:30 - 19:45,27.56,0.31,0.43,0.11,0.01,0.16,0.43
19:45 - 20:00,30.21,0.53,0.67,0.11,0.04,0.09,0.27
20:00 - 20:15,31.95,0.64,0.83,0.15,0.07,0.15,0.42
20:15 - 20:30,32.71,1.1,0.77,0.06,0.0,0.29,0.52
20:30 - 20:45,33.42,1.07,0.67,0.02,0.0,0.36,0.92
20:45 - 21:00,34.23,1.0,0.64,0.08,0.01,0.31,0.96
21:00 - 21:15,34.71,0.66,1.06,0.04,0.03,0.37,1.12
21:15 - 21:30,34.53,1.09,0.79,0.13,0.08,0.31,1.33
21:30 - 21:45,34.22,0.88,0.6,0.08,0.11,0.28,1.07
21:45 - 22:00,34.08,0.77,1.2,0.05,0.21,0.31,0.71
22:00 - 22:15,33.19,0.7,0.54,0.0,0.1,0.27,0.77
22:15 - 22:30,32.63,0.59,0.44,0.0,0.11,0.28,0.78
22:30 - 22:45,30.97,0.51,0.37,0.0,0.0,0.23,0.75
22:45 - 23:00,28.3,0.41,0.36,0.01,0.0,0.28,0.48
23:00 - 23:15,26.2,0.33,0.59,0.0,0.0,0.3,0.37
23:15 - 23:30,25.1,0.24,0.59,0.0,0.0,0.36,0.31
23:30 - 23:45,22.74,0.16,0.51,0.01,0.0,0.43,0.29
23:45 - 24:00,20.28,0.1,0.54,0.0,0.0,0.29,0.22
24:00 - 24:15,16.99,0.0,0.57,0.0,0.0,0.19,0.19
24:15 - 24:30,13.98,0.04,0.54,0.01,0.0,0.12,0.19
24:30 - 24:45,11.62,0.0,0.45,0.01,0.0,0.08,0.23
24:45 - 25:00,10.14,0.0,0.3,0.07,0.0,0.08,0.24
25:00 - 25:15,8.72,0.08,0.1,0.06,0.0,0.08,0.08
25:15 - 25:30,7.95,0.07,0.1,0.0,0.0,0.03,0.08
25:30 - 25:45,6.93,0.07,0.03,0.0,0.0,0.0,0.08
25:45 - 26:00,5.97,0.0,0.0,0.0,0.0,0.0,0.08
Whole day,13.61,0.28,0.4,0.04,0.01,0.16,0.41
06:00,4.42,0.32,0.12,0.0,0.0,0.08,0.0
06:01,4.52,0.32,0.12,0.0,0.0,0.08,0.0
06:02,4.41,0.32,0.12,0.0,0.0,0.08,0.0
06:03,4.55,0.32,0.12,0.0,0.0,0.08,0.0
