Timebands,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,0.08,0.08,0.0,0.0,0.09,0.27
02:15 - 02:30,0.08,0.15,0.0,0.0,0.02,0.26
02:30 - 02:45,0.08,0.17,0.0,0.0,0.0,0.26
02:45 - 03:00,0.08,0.12,0.06,0.0,0.0,0.26
03:00 - 03:15,0.11,0.11,0.01,0.0,0.0,0.26
03:15 - 03:30,0.12,0.09,0.0,0.0,0.0,0.26
03:30 - 03:45,0.12,0.09,0.0,0.0,0.0,0.26
03:45 - 04:00,0.12,0.09,0.0,0.0,0.0,0.26
04:00 - 04:15,0.12,0.09,0.0,0.0,0.0,0.26
04:15 - 04:30,0.12,0.09,0.0,0.0,0.0,0.26
04:30 - 04:45,0.12,0.09,0.0,0.0,0.0,0.26
04:45 - 05:00,0.08,0.0,0.0,0.0,0.0,0.26
05:00 - 05:15,0.0,0.0,0.0,0.0,0.0,0.37
05:15 - 05:30,0.08,0.0,0.0,0.0,0.0,0.47
05:30 - 05:45,0.08,0.12,0.0,0.0,0.0,0.35
05:45 - 06:00,0.08,0.21,0.0,0.0,0.0,0.17
Medie 2-6,0.09,0.09,0.0,0.0,0.01,0.28
06:00 - 06:15,0.12,0.01,0.0,0.0,0.0,0.29
06:15 - 06:30,0.18,0.09,0.0,0.0,0.0,0.29
06:30 - 06:45,0.24,0.09,0.0,0.0,0.0,0.21
06:45 - 07:00,0.24,0.09,0.0,0.0,0.0,0.21
07:00 - 07:15,0.11,0.16,0.0,0.0,0.0,0.29
07:15 - 07:30,0.11,0.13,0.0,0.0,0.0,0.37
07:30 - 07:45,0.14,0.19,0.01,0.0,0.03,0.34
07:45 - 08:00,0.11,0.1,0.02,0.0,0.05,0.38
08:00 - 08:15,0.2,0.26,0.0,0.0,0.0,0.75
08:15 - 08:30,0.21,0.22,0.01,0.0,0.02,0.74
08:30 - 08:45,0.19,0.16,0.01,0.0,0.02,0.44
08:45 - 09:00,0.18,0.35,0.06,0.0,0.0,0.3
Medie 6-9,0.17,0.15,0.01,0.0,0.01,0.38
09:00 - 09:15,0.18,0.2,0.0,0.0,0.13,0.35
09:15 - 09:30,0.18,0.05,0.0,0.0,0.12,0.56
09:30 - 09:45,0.31,0.25,0.01,0.0,0.02,0.59
09:45 - 10:00,0.29,0.19,0.0,0.02,0.0,0.51
10:00 - 10:15,0.12,0.06,0.1,0.0,0.07,0.84
10:15 - 10:30,0.32,0.04,0.22,0.0,0.06,0.84
10:30 - 10:45,0.24,0.17,0.24,0.0,0.0,0.91
10:45 - 11:00,0.28,0.24,0.26,0.03,0.03,0.76
11:00 - 11:15,0.31,0.35,0.28,0.0,0.09,0.97
11:15 - 11:30,0.26,0.54,0.0,0.01,0.1,1.13
11:30 - 11:45,0.34,0.39,0.0,0.0,0.08,1.1
11:45 - 12:00,0.29,0.37,0.0,0.05,0.02,1.01
Medie 9-12,0.26,0.24,0.09,0.01,0.06,0.8
12:00 - 12:15,0.4,0.32,0.0,0.07,0.01,0.98
12:15 - 12:30,0.6,0.22,0.01,0.11,0.15,1.03
12:30 - 12:45,0.41,0.17,0.02,0.11,0.02,0.96
12:45 - 13:00,0.49,0.13,0.0,0.08,0.0,0.55
13:00 - 13:15,0.52,0.39,0.0,0.06,0.0,0.23
13:15 - 13:30,0.31,0.54,0.05,0.05,0.0,0.22
13:30 - 13:45,0.41,0.74,0.15,0.05,0.18,0.48
13:45 - 14:00,0.53,1.01,0.01,0.0,0.05,0.4
14:00 - 14:15,0.44,0.89,0.08,0.0,0.15,0.49
14:15 - 14:30,0.28,0.99,0.24,0.0,0.13,0.48
14:30 - 14:45,0.26,1.16,0.21,0.0,0.12,0.34
14:45 - 15:00,0.22,0.93,0.12,0.0,0.12,0.17
Medie 12-15,0.41,0.62,0.07,0.04,0.08,0.53
15:00 - 15:15,0.43,0.99,0.11,0.0,0.27,0.27
15:15 - 15:30,0.36,1.26,0.1,0.0,0.27,0.43
