Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.21,0.0,0.24,0.01,0.0,0.16,0.12
02:15 - 02:30,5.68,0.0,0.16,0.09,0.0,0.1,0.12
02:30 - 02:45,5.06,0.0,0.21,0.09,0.0,0.1,0.13
02:45 - 03:00,4.87,0.0,0.25,0.09,0.0,0.1,0.12
03:00 - 03:15,4.31,0.24,0.27,0.09,0.0,0.1,0.12
03:15 - 03:30,4.22,0.24,0.17,0.09,0.0,0.1,0.12
03:30 - 03:45,3.76,0.04,0.17,0.09,0.0,0.01,0.12
03:45 - 04:00,3.51,0.11,0.17,0.1,0.0,0.01,0.06
04:00 - 04:15,3.3,0.0,0.17,0.21,0.0,0.0,0.0
04:15 - 04:30,3.53,0.0,0.17,0.21,0.0,0.0,0.0
04:30 - 04:45,3.65,0.0,0.17,0.21,0.0,0.0,0.0
04:45 - 05:00,3.68,0.0,0.17,0.25,0.0,0.0,0.0
05:00 - 05:15,3.9,0.07,0.17,0.21,0.0,0.0,0.0
05:15 - 05:30,4.18,0.09,0.17,0.08,0.0,0.0,0.09
05:30 - 05:45,4.34,0.2,0.17,0.0,0.02,0.0,0.22
05:45 - 06:00,5.79,0.33,0.17,0.0,0.08,0.0,0.37
Medie 2-6,4.37,0.08,0.19,0.11,0.01,0.04,0.1
06:00 - 06:15,5.72,0.2,0.19,0.0,0.08,0.0,0.51
06:15 - 06:30,5.87,0.1,0.17,0.0,0.08,0.0,0.52
06:30 - 06:45,6.42,0.09,0.13,0.0,0.08,0.0,0.42
06:45 - 07:00,6.73,0.03,0.08,0.0,0.08,0.0,0.37
07:00 - 07:15,8.28,0.16,0.08,0.02,0.15,0.0,0.4
07:15 - 07:30,8.92,0.24,0.08,0.0,0.11,0.08,0.54
07:30 - 07:45,8.86,0.35,0.08,0.01,0.01,0.04,0.47
07:45 - 08:00,8.5,0.49,0.19,0.01,0.0,0.0,0.25
08:00 - 08:15,8.64,0.45,0.1,0.0,0.0,0.0,0.55
08:15 - 08:30,9.04,0.57,0.18,0.0,0.04,0.02,0.35
08:30 - 08:45,8.89,0.68,0.31,0.0,0.0,0.08,0.31
08:45 - 09:00,9.21,0.43,0.27,0.0,0.01,0.25,0.34
Medie 6-9,7.92,0.31,0.16,0.0,0.05,0.04,0.42
09:00 - 09:15,9.45,0.36,0.27,0.01,0.0,0.48,0.24
09:15 - 09:30,9.59,0.09,0.28,0.1,0.0,0.24,0.52
09:30 - 09:45,9.39,0.1,0.21,0.1,0.0,0.21,0.53
09:45 - 10:00,9.15,0.04,0.23,0.0,0.0,0.45,0.54
10:00 - 10:15,9.23,0.1,0.1,0.0,0.0,0.52,0.69
10:15 - 10:30,9.39,0.11,0.08,0.06,0.0,0.52,0.64
10:30 - 10:45,9.1,0.27,0.3,0.06,0.0,0.41,0.4
10:45 - 11:00,8.44,0.45,0.37,0.17,0.0,0.35,0.4
11:00 - 11:15,8.4,0.52,0.59,0.0,0.0,0.49,0.17
11:15 - 11:30,8.67,0.58,0.59,0.01,0.0,0.51,0.13
11:30 - 11:45,8.18,0.58,0.6,0.02,0.0,0.45,0.13
11:45 - 12:00,8.04,0.55,0.62,0.0,0.0,0.39,0.2
Medie 9-12,8.92,0.31,0.35,0.04,0.0,0.42,0.38
12:00 - 12:15,8.7,0.57,0.62,0.0,0.0,0.29,0.34
12:15 - 12:30,8.77,0.56,0.48,0.0,0.0,0.29,0.3
12:30 - 12:45,9.02,0.45,0.52,0.0,0.0,0.63,0.2
12:45 - 13:00,8.6,0.26,0.56,0.0,0.0,0.61,0.24
13:00 - 13:15,8.22,0.18,0.54,0.0,0.0,0.25,0.26
13:15 - 13:30,8.27,0.27,0.48,0.0,0.0,0.18,0.31
13:30 - 13:45,8.63,0.3,0.51,0.0,0.0,0.12,0.48
13:45 - 14:00,8.31,0.28,0.3,0.0,0.0,0.01,0.51
14:00 - 14:15,8.81,0.36,0.34,0.05,0.01,0.27,0.52
14:15 - 14:30,9.99,0.31,0.34,0.0,0.0,0.41,0.59
14:30 - 14:45,10.5,0.45,0.42,0.0,0.0,0.34,0.47
14:45 - 15:00,10.28,0.27,0.49,0.0,0.02,0.21,0.41
Medie 12-15,9.01,0.36,0.47,0.0,0.0,0.3,0.39
