Timebands,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,0.0,0.04,0.09,0.0,0.12,0.71
02:15 - 02:30,0.01,0.13,0.19,0.0,0.13,0.72
02:30 - 02:45,0.0,0.13,0.15,0.0,0.08,0.78
02:45 - 03:00,0.0,0.13,0.15,0.0,0.0,0.77
03:00 - 03:15,0.0,0.13,0.15,0.0,0.0,0.71
03:15 - 03:30,0.0,0.13,0.15,0.0,0.0,0.71
03:30 - 03:45,0.0,0.13,0.15,0.0,0.0,0.71
03:45 - 04:00,0.0,0.18,0.15,0.0,0.0,0.71
04:00 - 04:15,0.0,0.19,0.15,0.0,0.0,0.71
04:15 - 04:30,0.0,0.08,0.15,0.0,0.0,0.51
04:30 - 04:45,0.0,0.08,0.15,0.0,0.01,0.46
04:45 - 05:00,0.0,0.08,0.15,0.0,0.07,0.46
05:00 - 05:15,0.0,0.08,0.15,0.0,0.07,0.46
05:15 - 05:30,0.0,0.08,0.15,0.0,0.08,0.46
05:30 - 05:45,0.02,0.08,0.17,0.0,0.07,0.26
05:45 - 06:00,0.13,0.08,0.15,0.0,0.12,0.09
Medie 2-6,0.01,0.11,0.15,0.0,0.05,0.58
06:00 - 06:15,0.31,0.14,0.14,0.0,0.05,0.09
06:15 - 06:30,0.27,0.2,0.0,0.01,0.0,0.09
06:30 - 06:45,0.26,0.12,0.02,0.0,0.0,0.16
06:45 - 07:00,0.17,0.2,0.0,0.0,0.0,0.09
07:00 - 07:15,0.19,0.2,0.0,0.0,0.03,0.09
07:15 - 07:30,0.26,0.23,0.02,0.0,0.02,0.43
07:30 - 07:45,0.34,0.29,0.01,0.0,0.0,0.52
07:45 - 08:00,0.34,0.29,0.01,0.0,0.02,0.71
08:00 - 08:15,0.38,0.31,0.01,0.0,0.04,0.9
08:15 - 08:30,0.39,0.29,0.0,0.05,0.02,0.96
08:30 - 08:45,0.42,0.3,0.08,0.05,0.0,0.49
08:45 - 09:00,0.44,0.42,0.24,0.15,0.01,0.71
Medie 6-9,0.31,0.25,0.04,0.02,0.02,0.44
09:00 - 09:15,0.4,0.32,0.24,0.0,0.09,1.05
09:15 - 09:30,0.23,0.33,0.14,0.0,0.13,1.1
09:30 - 09:45,0.14,0.27,0.06,0.0,0.27,0.78
09:45 - 10:00,0.17,0.28,0.0,0.0,0.28,0.7
10:00 - 10:15,0.31,0.22,0.03,0.0,0.31,0.69
10:15 - 10:30,0.25,0.46,0.05,0.0,0.34,0.68
10:30 - 10:45,0.33,0.31,0.02,0.0,0.2,0.82
10:45 - 11:00,0.02,0.19,0.0,0.0,0.19,0.71
11:00 - 11:15,0.28,0.57,0.02,0.0,0.19,0.47
11:15 - 11:30,0.55,0.61,0.02,0.0,0.17,0.45
11:30 - 11:45,0.57,0.42,0.04,0.0,0.28,0.29
11:45 - 12:00,0.58,0.55,0.1,0.0,0.28,0.25
Medie 9-12,0.32,0.38,0.06,0.0,0.23,0.67
12:00 - 12:15,0.66,0.38,0.22,0.0,0.11,0.59
12:15 - 12:30,0.59,0.62,0.07,0.01,0.24,0.56
12:30 - 12:45,0.95,0.61,0.03,0.04,0.2,0.52
12:45 - 13:00,0.82,0.78,0.03,0.05,0.14,0.63
13:00 - 13:15,0.77,0.75,0.0,0.05,0.07,0.79
13:15 - 13:30,0.92,0.78,0.04,0.05,0.09,0.81
13:30 - 13:45,0.81,0.55,0.16,0.11,0.28,1.0
13:45 - 14:00,1.01,0.68,0.01,0.12,0.21,0.84
14:00 - 14:15,0.92,0.78,0.04,0.0,0.11,0.7
14:15 - 14:30,0.84,0.8,0.01,0.0,0.09,0.95
14:30 - 14:45,0.71,0.65,0.01,0.0,0.21,1.34
14:45 - 15:00,0.62,0.82,0.06,0.0,0.09,1.11
Medie 12-15,0.8,0.68,0.06,0.04,0.15,0.82
15:00 - 15:15,0.73,0.64,0.0,0.0,0.24,0.98
15:15 - 15:30,0.68,0.7,0.0,0.0,0.36,0.97
15:30 - 15:45,0.82,0.6,0.0,0.03,0.4,1.13
15:45 - 16:00,0.61,0.91,0.0,0.12,0.45,0.79
Medie 15-16,0.71,0.71,0.0,0.04,0.36,0.97
16:00 - 16:15,0.6,0.98,0.0,0.01,0.62,0.56
16:15 - 16:30,0.56,1.15,0.0,0.12,0.62,0.76
16:30 - 16:45,0.81,1.24,0.05,0.17,0.46,0.84
16:45 - 17:00,0.6,1.28,0.03,0.09,0.48,0.61
17:00 - 17:15,0.54,1.18,0.05,0.01,0.25,0.45
17:15 - 17:30,0.52,1.1,0.01,0.01,0.15,0.5
17:30 - 17:45,0.45,1.28,0.09,0.0,0.23,0.57
17:45 - 18:00,0.6,1.16,0.09,0.0,0.26,0.43
18:00 - 18:15,0.63,1.03,0.12,0.0,0.39,0.37
18:15 - 18:30,0.56,1.19,0.21,0.06,0.48,0.55
18:30 - 18:45,0.67,1.14,0.21,0.18,0.53,0.58
18:45 - 19:00,0.7,0.7,0.2,0.15,0.83,0.56
Medie 16-19,0.6,1.12,0.09,0.07,0.44,0.57
19:00 - 19:15,0.5,0.56,0.07,0.03,0.77,0.65
19:15 - 19:30,0.24,0.86,0.0,0.05,0.71,0.78
19:30 - 19:45,0.29,0.91,0.02,0.04,0.58,0.69
19:45 - 20:00,0.43,0.81,0.0,0.0,0.74,0.86
