Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.33,0.24,0.04,0.0,0.0,0.0,0.12
02:15 - 02:30,5.77,0.16,0.0,0.0,0.0,0.0,0.21
02:30 - 02:45,4.93,0.12,0.0,0.0,0.0,0.0,0.3
02:45 - 03:00,4.36,0.04,0.0,0.0,0.0,0.0,0.23
03:00 - 03:15,4.01,0.0,0.0,0.0,0.0,0.0,0.22
03:15 - 03:30,3.3,0.0,0.0,0.0,0.0,0.0,0.22
03:30 - 03:45,3.5,0.04,0.15,0.0,0.0,0.0,0.22
03:45 - 04:00,3.53,0.09,0.11,0.0,0.0,0.08,0.21
04:00 - 04:15,3.05,0.09,0.2,0.0,0.0,0.0,0.12
04:15 - 04:30,3.06,0.1,0.09,0.05,0.0,0.05,0.13
04:30 - 04:45,2.95,0.09,0.0,0.09,0.0,0.0,0.12
04:45 - 05:00,3.14,0.11,0.0,0.06,0.0,0.0,0.12
05:00 - 05:15,3.3,0.14,0.0,0.0,0.0,0.03,0.18
05:15 - 05:30,3.19,0.09,0.0,0.0,0.0,0.0,0.3
05:30 - 05:45,3.06,0.09,0.0,0.0,0.0,0.0,0.25
05:45 - 06:00,3.98,0.1,0.03,0.0,0.0,0.05,0.15
Medie 2-6,3.84,0.09,0.04,0.01,0.0,0.01,0.19
06:00 - 06:15,4.63,0.11,0.15,0.0,0.0,0.08,0.12
06:15 - 06:30,5.53,0.12,0.09,0.0,0.0,0.0,0.23
06:30 - 06:45,5.88,0.19,0.05,0.0,0.0,0.0,0.3
06:45 - 07:00,6.18,0.17,0.09,0.0,0.0,0.0,0.28
07:00 - 07:15,7.52,0.15,0.0,0.0,0.0,0.0,0.29
07:15 - 07:30,8.06,0.17,0.02,0.0,0.0,0.0,0.3
07:30 - 07:45,8.23,0.27,0.05,0.0,0.0,0.0,0.24
07:45 - 08:00,8.57,0.28,0.2,0.0,0.0,0.0,0.51
08:00 - 08:15,9.12,0.49,0.19,0.0,0.01,0.03,0.57
08:15 - 08:30,9.64,0.46,0.23,0.03,0.05,0.04,0.36
08:30 - 08:45,9.62,0.43,0.35,0.01,0.09,0.02,0.38
08:45 - 09:00,9.52,0.33,0.41,0.0,0.02,0.0,0.42
Medie 6-9,7.71,0.26,0.15,0.0,0.01,0.01,0.33
09:00 - 09:15,9.86,0.24,0.59,0.04,0.0,0.01,0.45
09:15 - 09:30,10.01,0.24,0.53,0.0,0.02,0.0,0.5
09:30 - 09:45,10.2,0.25,0.58,0.01,0.0,0.1,0.48
09:45 - 10:00,10.51,0.35,0.63,0.0,0.0,0.25,0.4
10:00 - 10:15,10.46,0.23,0.6,0.0,0.0,0.12,0.35
