Timebands,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,0.0,0.19,0.0,0.0,0.11,0.02
02:15 - 02:30,0.0,0.21,0.08,0.0,0.11,0.0
02:30 - 02:45,0.0,0.21,0.0,0.0,0.11,0.0
02:45 - 03:00,0.0,0.21,0.11,0.0,0.11,0.0
03:00 - 03:15,0.0,0.15,0.13,0.0,0.11,0.0
03:15 - 03:30,0.0,0.0,0.13,0.0,0.11,0.0
03:30 - 03:45,0.0,0.0,0.13,0.0,0.11,0.0
03:45 - 04:00,0.0,0.0,0.13,0.0,0.11,0.0
04:00 - 04:15,0.0,0.0,0.13,0.0,0.0,0.0
04:15 - 04:30,0.0,0.02,0.13,0.0,0.0,0.0
04:30 - 04:45,0.07,0.04,0.13,0.0,0.0,0.0
04:45 - 05:00,0.09,0.0,0.17,0.0,0.0,0.01
05:00 - 05:15,0.09,0.0,0.13,0.0,0.0,0.08
05:15 - 05:30,0.09,0.01,0.13,0.0,0.0,0.0
05:30 - 05:45,0.17,0.15,0.16,0.0,0.0,0.0
05:45 - 06:00,0.35,0.14,0.18,0.0,0.0,0.0
Medie 2-6,0.05,0.08,0.12,0.0,0.06,0.01
06:00 - 06:15,0.47,0.06,0.13,0.0,0.0,0.14
06:15 - 06:30,0.28,0.07,0.02,0.0,0.0,0.29
06:30 - 06:45,0.27,0.0,0.0,0.0,0.0,0.35
06:45 - 07:00,0.24,0.15,0.02,0.0,0.0,0.35
07:00 - 07:15,0.3,0.2,0.03,0.0,0.0,0.43
07:15 - 07:30,0.39,0.13,0.08,0.0,0.0,0.47
07:30 - 07:45,0.43,0.12,0.08,0.0,0.0,0.45
07:45 - 08:00,0.23,0.13,0.05,0.0,0.0,0.42
08:00 - 08:15,0.04,0.54,0.02,0.0,0.03,0.7
08:15 - 08:30,0.13,0.61,0.0,0.0,0.0,0.62
08:30 - 08:45,0.06,0.4,0.0,0.08,0.0,0.37
08:45 - 09:00,0.19,0.32,0.0,0.12,0.0,0.21
Medie 6-9,0.25,0.23,0.04,0.02,0.0,0.4
09:00 - 09:15,0.33,0.27,0.0,0.0,0.16,0.44
09:15 - 09:30,0.36,0.23,0.0,0.0,0.19,0.62
09:30 - 09:45,0.59,0.27,0.0,0.06,0.0,0.61
09:45 - 10:00,0.28,0.38,0.0,0.06,0.16,0.48
10:00 - 10:15,0.19,0.46,0.02,0.06,0.32,0.45
