Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.37,0.0,0.13,0.0,0.0,0.12,0.31
02:15 - 02:30,5.69,0.0,0.13,0.0,0.0,0.12,0.31
02:30 - 02:45,5.55,0.0,0.16,0.02,0.0,0.02,0.33
02:45 - 03:00,5.32,0.0,0.2,0.0,0.0,0.01,0.4
03:00 - 03:15,4.31,0.0,0.13,0.0,0.0,0.0,0.42
03:15 - 03:30,3.67,0.0,0.13,0.0,0.0,0.0,0.4
03:30 - 03:45,3.26,0.0,0.22,0.0,0.0,0.0,0.22
03:45 - 04:00,3.04,0.0,0.3,0.0,0.0,0.0,0.08
04:00 - 04:15,3.02,0.06,0.31,0.0,0.0,0.01,0.06
04:15 - 04:30,3.18,0.06,0.3,0.06,0.0,0.02,0.09
04:30 - 04:45,3.33,0.0,0.3,0.14,0.0,0.0,0.09
04:45 - 05:00,3.27,0.0,0.3,0.14,0.0,0.0,0.09
05:00 - 05:15,2.98,0.0,0.3,0.19,0.0,0.1,0.09
05:15 - 05:30,3.07,0.0,0.36,0.17,0.0,0.11,0.09
05:30 - 05:45,3.04,0.08,0.17,0.19,0.0,0.11,0.09
05:45 - 06:00,3.72,0.26,0.21,0.16,0.0,0.11,0.09
Medie 2-6,3.93,0.03,0.23,0.07,0.0,0.05,0.2
06:00 - 06:15,4.8,0.11,0.22,0.14,0.0,0.01,0.09
06:15 - 06:30,5.77,0.11,0.29,0.14,0.0,0.0,0.09
06:30 - 06:45,7.26,0.31,0.25,0.14,0.01,0.01,0.21
06:45 - 07:00,8.45,0.38,0.46,0.14,0.08,0.0,0.38
07:00 - 07:15,9.19,0.17,0.37,0.14,0.0,0.0,0.54
07:15 - 07:30,9.98,0.14,0.31,0.14,0.0,0.0,0.75
07:30 - 07:45,9.55,0.13,0.31,0.14,0.0,0.0,0.64
07:45 - 08:00,8.88,0.22,0.36,0.06,0.04,0.0,0.29
08:00 - 08:15,9.84,0.08,0.37,0.0,0.0,0.0,0.38
08:15 - 08:30,10.46,0.05,0.25,0.0,0.0,0.07,0.31
08:30 - 08:45,10.6,0.02,0.46,0.0,0.0,0.27,0.43
08:45 - 09:00,10.5,0.0,0.58,0.0,0.0,0.28,0.4
Medie 6-9,8.77,0.14,0.35,0.09,0.01,0.05,0.38
09:00 - 09:15,10.06,0.03,0.37,0.0,0.0,0.35,0.61
09:15 - 09:30,9.78,0.03,0.29,0.0,0.0,0.44,0.73
09:30 - 09:45,9.5,0.25,0.36,0.0,0.04,0.43,0.55
09:45 - 10:00,8.89,0.27,0.34,0.0,0.03,0.33,0.36
10:00 - 10:15,9.55,0.2,0.31,0.0,0.0,0.35,0.78
10:15 - 10:30,9.95,0.23,0.57,0.0,0.0,0.47,0.96
10:30 - 10:45,11.22,0.2,0.5,0.07,0.01,0.46,0.85
10:45 - 11:00,11.04,0.3,0.59,0.11,0.0,0.44,0.52
11:00 - 11:15,10.62,0.38,0.53,0.03,0.0,0.42,0.71
11:15 - 11:30,10.71,0.4,0.52,0.11,0.0,0.17,0.76
11:30 - 11:45,10.66,0.65,0.42,0.12,0.0,0.11,0.87
