Timebands,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,0.0,0.3,0.0,0.0,0.09,0.12
02:15 - 02:30,0.0,0.29,0.0,0.0,0.09,0.12
02:30 - 02:45,0.0,0.22,0.0,0.0,0.09,0.12
02:45 - 03:00,0.0,0.21,0.0,0.0,0.02,0.12
03:00 - 03:15,0.0,0.21,0.0,0.0,0.0,0.12
03:15 - 03:30,0.0,0.21,0.0,0.0,0.0,0.12
03:30 - 03:45,0.0,0.21,0.0,0.0,0.0,0.12
03:45 - 04:00,0.0,0.21,0.0,0.0,0.0,0.12
04:00 - 04:15,0.0,0.21,0.0,0.0,0.0,0.12
04:15 - 04:30,0.0,0.21,0.0,0.0,0.0,0.12
04:30 - 04:45,0.0,0.15,0.0,0.0,0.0,0.12
04:45 - 05:00,0.0,0.09,0.0,0.0,0.01,0.12
05:00 - 05:15,0.02,0.1,0.0,0.0,0.03,0.12
05:15 - 05:30,0.01,0.09,0.0,0.0,0.11,0.13
05:30 - 05:45,0.08,0.12,0.0,0.0,0.11,0.11
05:45 - 06:00,0.08,0.0,0.0,0.0,0.04,0.13
Medie 2-6,0.01,0.18,0.0,0.0,0.04,0.12
06:00 - 06:15,0.03,0.14,0.0,0.01,0.0,0.4
06:15 - 06:30,0.0,0.26,0.0,0.0,0.0,0.4
06:30 - 06:45,0.18,0.21,0.0,0.0,0.0,0.47
06:45 - 07:00,0.24,0.17,0.0,0.0,0.0,0.36
07:00 - 07:15,0.23,0.21,0.0,0.0,0.0,0.27
07:15 - 07:30,0.13,0.16,0.0,0.01,0.0,0.24
07:30 - 07:45,0.3,0.18,0.0,0.0,0.0,0.19
07:45 - 08:00,0.43,0.47,0.0,0.0,0.0,0.01
08:00 - 08:15,0.71,0.25,0.0,0.0,0.0,0.39
08:15 - 08:30,0.77,0.33,0.0,0.0,0.01,0.52
08:30 - 08:45,0.9,0.28,0.01,0.0,0.04,0.34
08:45 - 09:00,0.68,0.41,0.04,0.0,0.0,0.33
Medie 6-9,0.38,0.26,0.0,0.0,0.0,0.33
09:00 - 09:15,0.56,0.21,0.02,0.0,0.11,0.47
09:15 - 09:30,0.63,0.39,0.02,0.01,0.17,0.45
09:30 - 09:45,0.58,0.28,0.02,0.0,0.2,0.48
09:45 - 10:00,0.44,0.13,0.0,0.0,0.17,0.28
10:00 - 10:15,0.58,0.09,0.04,0.0,0.23,0.43
10:15 - 10:30,0.46,0.09,0.06,0.0,0.13,0.5
10:30 - 10:45,0.47,0.48,0.07,0.0,0.12,0.4
10:45 - 11:00,0.55,0.47,0.15,0.0,0.14,0.37
11:00 - 11:15,0.75,0.53,0.0,0.0,0.47,0.17
11:15 - 11:30,0.8,0.63,0.0,0.0,0.23,0.24
11:30 - 11:45,0.64,0.43,0.0,0.0,0.08,0.27
11:45 - 12:00,0.49,0.25,0.0,0.0,0.0,0.15
Medie 9-12,0.58,0.33,0.03,0.0,0.17,0.35
12:00 - 12:15,0.55,0.11,0.01,0.0,0.12,0.29
12:15 - 12:30,0.64,0.18,0.0,0.0,0.34,0.21
12:30 - 12:45,0.7,0.24,0.0,0.0,0.28,0.41
12:45 - 13:00,0.58,0.22,0.0,0.0,0.23,0.41
13:00 - 13:15,0.61,0.33,0.0,0.0,0.29,0.5
13:15 - 13:30,0.51,0.49,0.0,0.0,0.21,0.47
13:30 - 13:45,0.62,0.64,0.03,0.01,0.14,0.68
13:45 - 14:00,0.49,0.75,0.03,0.0,0.28,0.94
14:00 - 14:15,0.51,0.84,0.14,0.0,0.11,1.21
14:15 - 14:30,0.44,1.05,0.16,0.0,0.13,1.0
14:30 - 14:45,0.62,0.9,0.18,0.0,0.53,0.47
14:45 - 15:00,0.5,0.98,0.1,0.0,0.46,0.33
Medie 12-15,0.56,0.56,0.06,0.0,0.26,0.58
15:00 - 15:15,0.51,1.14,0.02,0.01,0.51,0.54
15:15 - 15:30,0.49,0.88,0.0,0.0,0.47,0.97
15:30 - 15:45,0.66,0.82,0.03,0.0,0.6,1.13
15:45 - 16:00,1.04,1.36,0.01,0.0,0.49,0.66
Medie 15-16,0.67,1.05,0.01,0.0,0.52,0.83
16:00 - 16:15,1.25,1.08,0.09,0.0,0.69,0.59
16:15 - 16:30,1.26,1.21,0.17,0.0,0.67,0.83
16:30 - 16:45,1.07,1.68,0.12,0.06,0.48,1.13
16:45 - 17:00,1.05,1.42,0.08,0.08,0.48,0.83
17:00 - 17:15,1.06,1.36,0.0,0.08,0.4,0.51
17:15 - 17:30,1.0,1.29,0.02,0.08,0.33,1.12
17:30 - 17:45,1.01,1.56,0.09,0.08,0.3,1.02
17:45 - 18:00,0.61,1.78,0.16,0.0,0.4,0.68
18:00 - 18:15,0.73,1.92,0.11,0.0,0.2,0.73
18:15 - 18:30,0.79,1.61,0.04,0.01,0.2,1.23
18:30 - 18:45,0.97,1.54,0.09,0.0,0.07,1.08
18:45 - 19:00,0.82,1.11,0.12,0.02,0.46,0.72
Medie 16-19,0.97,1.46,0.09,0.03,0.39,0.87
19:00 - 19:15,0.52,1.0,0.02,0.0,0.47,0.65
19:15 - 19:30,0.6,1.24,0.01,0.03,0.35,0.81
19:30 - 19:45,0.57,1.13,0.01,0.18,0.49,0.73
19:45 - 20:00,0.8,1.09,0.08,0.1,0.49,0.53
Medie 19-20,0.62,1.12,0.03,0.08,0.45,0.68
20:00 - 20:15,1.19,1.33,0.1,0.0,0.42,1.13
20:15 - 20:30,1.22,1.47,0.03,0.03,0.59,1.14
20:30 - 20:45,0.95,1.43,0.0,0.01,0.43,1.31
20:45 - 21:00,1.24,1.7,0.11,0.0,0.26,1.16
21:00 - 21:15,1.26,1.53,0.0,0.0,0.3,1.08
21:15 - 21:30,1.27,1.41,0.03,0.01,0.38,1.19
21:30 - 21:45,1.13,1.8,0.06,0.1,0.26,1.02
21:45 - 22:00,0.69,2.0,0.15,0.11,0.18,0.41
22:00 - 22:15,0.36,1.46,0.08,0.0,0.16,0.45
22:15 - 22:30,0.39,1.62,0.07,0.0,0.18,0.36
22:30 - 22:45,0.66,1.35,0.09,0.0,0.28,0.35
22:45 - 23:00,0.51,1.04,0.11,0.0,0.26,0.34
Medie 20-23,0.91,1.51,0.07,0.02,0.31,0.83
23:00 - 23:15,0.44,1.17,0.01,0.01,0.27,0.64
23:15 - 23:30,0.63,1.06,0.15,0.0,0.3,0.83
23:30 - 23:45,0.64,1.13,0.05,0.0,0.21,0.87
23:45 - 24:00,0.49,0.78,0.09,0.0,0.21,0.72
24:00 - 24:15,0.42,0.81,0.0,0.0,0.21,0.72
24:15 - 24:30,0.35,0.53,0.0,0.0,0.31,0.74
24:30 - 24:45,0.33,0.29,0.03,0.0,0.26,0.87
24:45 - 25:00,0.1,0.18,0.07,0.0,0.15,0.74
Medie 23-25,0.43,0.74,0.05,0.0,0.24,0.77
25:00 - 25:15,0.24,0.15,0.07,0.0,0.14,0.66
