Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
21:00 - 21:15,34.42,1.09,1.35,0.05,0.05,0.48,0.19
21:15 - 21:30,33.97,1.35,1.45,0.01,0.0,0.4,0.12
21:30 - 21:45,33.96,0.84,1.2,0.01,0.08,0.31,0.22
21:45 - 22:00,32.72,1.04,0.98,0.08,0.1,0.27,0.22
22:00 - 22:15,32.23,0.98,0.97,0.08,0.0,0.24,0.2
22:15 - 22:30,30.94,0.87,1.12,0.08,0.0,0.36,0.29
22:30 - 22:45,29.61,0.68,1.12,0.1,0.02,0.13,0.26
22:45 - 23:00,29.39,0.47,0.69,0.1,0.02,0.29,0.16
Medie 20-23,32.68,0.82,1.04,0.06,0.02,0.45,0.43
23:00 - 23:15,27.19,0.52,0.48,0.08,0.0,0.38,0.94
23:15 - 23:30,24.13,0.36,0.51,0.14,0.0,0.54,0.65
23:30 - 23:45,21.57,0.26,0.85,0.12,0.0,0.25,0.28
23:45 - 24:00,18.12,0.22,0.58,0.1,0.0,0.32,0.56
24:00 - 24:15,14.81,0.22,0.61,0.06,0.0,0.31,0.35
24:15 - 24:30,12.49,0.39,0.64,0.0,0.0,0.26,0.33
24:30 - 24:45,11.54,0.33,0.65,0.0,0.0,0.2,0.29
24:45 - 25:00,10.5,0.22,0.55,0.0,0.0,0.16,0.24
Medie 23-25,17.54,0.31,0.61,0.06,0.0,0.3,0.46
25:00 - 25:15,9.55,0.22,0.43,0.0,0.0,0.17,0.22
25:15 - 25:30,8.31,0.14,0.43,0.0,0.0,0.19,0.26
25:30 - 25:45,7.34,0.12,0.38,0.01,0.0,0.18,0.3
25:45 - 26:00,6.73,0.11,0.3,0.0,0.0,0.12,0.22
Medie 25-26,7.98,0.15,0.39,0.0,0.0,0.17,0.25
Whole day,14.07,0.34,0.49,0.08,0.01,0.26,0.48
