Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.3,0.25,0.13,0.09,0.0,0.02,0.37
02:15 - 02:30,4.49,0.26,0.13,0.09,0.0,0.0,0.22
02:30 - 02:45,3.79,0.18,0.15,0.09,0.0,0.0,0.11
02:45 - 03:00,3.48,0.19,0.08,0.09,0.0,0.0,0.09
03:00 - 03:15,3.35,0.19,0.02,0.09,0.0,0.0,0.14
03:15 - 03:30,3.03,0.19,0.23,0.09,0.0,0.0,0.11
03:30 - 03:45,2.73,0.19,0.03,0.09,0.0,0.0,0.09
03:45 - 04:00,2.68,0.19,0.1,0.09,0.0,0.0,0.09
04:00 - 04:15,2.15,0.19,0.1,0.09,0.0,0.0,0.11
04:15 - 04:30,2.12,0.19,0.1,0.08,0.0,0.0,0.14
04:30 - 04:45,2.24,0.19,0.1,0.0,0.0,0.0,0.11
04:45 - 05:00,2.33,0.15,0.12,0.0,0.0,0.03,0.11
05:00 - 05:15,2.53,0.11,0.08,0.0,0.0,0.08,0.21
05:15 - 05:30,2.73,0.12,0.09,0.0,0.07,0.08,0.2
05:30 - 05:45,2.9,0.11,0.33,0.0,0.07,0.08,0.14
05:45 - 06:00,2.56,0.04,0.26,0.0,0.0,0.08,0.09
Medie 2-6,3.02,0.17,0.13,0.06,0.01,0.02,0.15
06:00 - 06:15,3.26,0.12,0.26,0.0,0.0,0.04,0.02
06:15 - 06:30,4.4,0.11,0.33,0.0,0.0,0.0,0.0
06:30 - 06:45,5.69,0.11,0.42,0.0,0.0,0.0,0.16
06:45 - 07:00,6.74,0.09,0.42,0.0,0.0,0.0,0.18
07:00 - 07:15,7.32,0.09,0.37,0.0,0.02,0.01,0.24
07:15 - 07:30,8.33,0.07,0.42,0.01,0.04,0.0,0.45
07:30 - 07:45,8.65,0.07,0.14,0.09,0.05,0.04,0.55
07:45 - 08:00,8.85,0.06,0.11,0.0,0.0,0.01,0.59
08:00 - 08:15,8.39,0.05,0.17,0.0,0.0,0.0,0.53
08:15 - 08:30,9.32,0.17,0.22,0.0,0.01,0.06,0.58
08:30 - 08:45,9.52,0.24,0.25,0.0,0.0,0.01,0.57
08:45 - 09:00,9.8,0.11,0.23,0.0,0.0,0.02,0.52
Medie 6-9,7.52,0.11,0.28,0.01,0.01,0.01,0.37
09:00 - 09:15,9.53,0.14,0.2,0.0,0.0,0.11,0.6
09:15 - 09:30,9.09,0.15,0.16,0.0,0.0,0.09,0.79
09:30 - 09:45,9.3,0.2,0.12,0.0,0.0,0.13,0.61
09:45 - 10:00,9.74,0.37,0.25,0.0,0.0,0.09,0.68
10:00 - 10:15,9.49,0.29,0.67,0.0,0.0,0.14,0.56
10:15 - 10:30,8.71,0.34,0.37,0.0,0.0,0.08,0.62
10:30 - 10:45,8.01,0.3,0.07,0.0,0.0,0.04,0.58
10:45 - 11:00,7.73,0.15,0.25,0.03,0.0,0.0,0.27
11:00 - 11:15,8.53,0.26,0.36,0.01,0.0,0.07,0.59
11:15 - 11:30,8.86,0.62,0.17,0.0,0.0,0.0,0.61
11:30 - 11:45,8.65,0.51,0.24,0.0,0.0,0.22,0.42
11:45 - 12:00,8.67,0.48,0.32,0.0,0.0,0.09,0.44
Medie 9-12,8.86,0.32,0.27,0.0,0.0,0.09,0.56
