Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.4,0.37,0.01,0.0,0.0,0.07,0.32
02:15 - 02:30,5.75,0.39,0.01,0.0,0.0,0.0,0.34
02:30 - 02:45,5.07,0.43,0.0,0.0,0.0,0.0,0.28
02:45 - 03:00,4.33,0.45,0.0,0.0,0.0,0.0,0.2
03:00 - 03:15,3.74,0.46,0.0,0.0,0.0,0.0,0.22
03:15 - 03:30,3.23,0.22,0.0,0.0,0.0,0.0,0.45
03:30 - 03:45,3.16,0.17,0.0,0.0,0.0,0.0,0.47
03:45 - 04:00,3.3,0.09,0.0,0.0,0.0,0.0,0.47
04:00 - 04:15,3.12,0.09,0.03,0.0,0.0,0.01,0.51
04:15 - 04:30,3.13,0.1,0.06,0.01,0.0,0.0,0.57
04:30 - 04:45,3.29,0.11,0.0,0.0,0.0,0.0,0.57
04:45 - 05:00,3.17,0.09,0.0,0.06,0.0,0.0,0.58
05:00 - 05:15,3.06,0.09,0.09,0.0,0.0,0.0,0.69
05:15 - 05:30,3.01,0.09,0.1,0.0,0.0,0.0,0.69
05:30 - 05:45,2.88,0.19,0.1,0.0,0.0,0.0,0.56
05:45 - 06:00,3.11,0.4,0.1,0.0,0.0,0.0,0.52
Medie 2-6,3.73,0.23,0.03,0.0,0.0,0.01,0.47
06:00 - 06:15,4.02,0.52,0.1,0.0,0.0,0.01,0.47
06:15 - 06:30,4.72,0.5,0.1,0.0,0.07,0.0,0.47
06:30 - 06:45,5.53,0.39,0.12,0.0,0.09,0.0,0.48
06:45 - 07:00,6.23,0.61,0.14,0.0,0.09,0.0,0.27
07:00 - 07:15,7.02,0.45,0.03,0.0,0.09,0.0,0.39
07:15 - 07:30,8.25,0.36,0.0,0.05,0.04,0.0,0.57
07:30 - 07:45,7.56,0.1,0.03,0.0,0.04,0.0,0.48
07:45 - 08:00,7.12,0.22,0.11,0.0,0.0,0.0,0.74
08:00 - 08:15,7.92,0.14,0.26,0.0,0.0,0.02,0.86
08:15 - 08:30,7.87,0.12,0.22,0.0,0.03,0.0,0.91
08:30 - 08:45,8.55,0.12,0.23,0.0,0.0,0.0,1.15
08:45 - 09:00,9.38,0.18,0.27,0.0,0.0,0.07,0.97
Medie 6-9,7.01,0.31,0.14,0.0,0.04,0.01,0.65
09:00 - 09:15,9.6,0.25,0.41,0.0,0.0,0.18,0.7
09:15 - 09:30,9.36,0.39,0.35,0.0,0.0,0.17,0.8
