Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.79,0.22,0.18,0.0,0.0,0.1,0.54
02:15 - 02:30,5.56,0.12,0.16,0.0,0.0,0.1,0.6
02:30 - 02:45,5.38,0.1,0.23,0.03,0.0,0.15,0.51
02:45 - 03:00,5.15,0.1,0.16,0.06,0.0,0.15,0.42
03:00 - 03:15,4.61,0.07,0.18,0.01,0.0,0.11,0.39
03:15 - 03:30,4.08,0.09,0.18,0.0,0.0,0.12,0.32
03:30 - 03:45,3.68,0.11,0.13,0.02,0.0,0.06,0.19
03:45 - 04:00,3.37,0.21,0.1,0.11,0.0,0.0,0.13
04:00 - 04:15,3.16,0.18,0.14,0.1,0.0,0.0,0.13
04:15 - 04:30,2.83,0.37,0.12,0.0,0.0,0.0,0.06
04:30 - 04:45,2.81,0.34,0.08,0.0,0.0,0.0,0.0
04:45 - 05:00,3.02,0.34,0.03,0.0,0.0,0.0,0.0
05:00 - 05:15,2.5,0.36,0.0,0.0,0.0,0.0,0.2
05:15 - 05:30,2.54,0.37,0.0,0.0,0.0,0.0,0.25
05:30 - 05:45,2.74,0.38,0.0,0.0,0.0,0.0,0.25
05:45 - 06:00,2.67,0.37,0.01,0.0,0.0,0.0,0.25
Medie 2-6,3.8,0.23,0.11,0.02,0.0,0.05,0.26
06:00 - 06:15,3.16,0.35,0.14,0.0,0.0,0.0,0.35
06:15 - 06:30,3.66,0.34,0.19,0.0,0.0,0.0,0.37
06:30 - 06:45,4.18,0.34,0.13,0.0,0.0,0.0,0.64
06:45 - 07:00,4.71,0.32,0.22,0.04,0.0,0.01,0.52
07:00 - 07:15,5.33,0.16,0.09,0.0,0.0,0.01,0.33
07:15 - 07:30,6.55,0.15,0.08,0.0,0.0,0.0,0.52
07:30 - 07:45,7.34,0.32,0.07,0.0,0.07,0.0,0.39
07:45 - 08:00,7.84,0.52,0.32,0.0,0.02,0.02,0.17
08:00 - 08:15,9.26,0.39,0.38,0.0,0.0,0.0,0.24
08:15 - 08:30,10.26,0.41,0.36,0.09,0.0,0.0,0.33
08:30 - 08:45,10.26,0.29,0.27,0.01,0.01,0.03,0.25
08:45 - 09:00,10.63,0.28,0.49,0.0,0.0,0.0,0.17
Medie 6-9,6.93,0.32,0.23,0.01,0.01,0.01,0.36
09:00 - 09:15,11.86,0.39,0.46,0.0,0.0,0.09,0.23
09:15 - 09:30,12.27,0.39,0.36,0.02,0.0,0.39,0.7
09:30 - 09:45,12.27,0.19,0.24,0.01,0.01,0.47,0.61
09:45 - 10:00,12.39,0.12,0.39,0.01,0.0,0.35,0.26
10:00 - 10:15,13.27,0.31,0.46,0.12,0.0,0.21,0.35
10:15 - 10:30,13.0,0.53,0.39,0.11,0.0,0.17,0.44
