Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,6.9,0.28,0.07,0.0,0.0,0.49,0.0
02:15 - 02:30,6.13,0.28,0.0,0.0,0.0,0.42,0.0
02:30 - 02:45,5.76,0.24,0.06,0.0,0.0,0.38,0.0
02:45 - 03:00,5.37,0.25,0.0,0.0,0.0,0.33,0.0
03:00 - 03:15,4.4,0.17,0.0,0.0,0.0,0.15,0.0
03:15 - 03:30,4.06,0.14,0.02,0.0,0.0,0.16,0.01
03:30 - 03:45,3.77,0.2,0.0,0.0,0.0,0.14,0.03
03:45 - 04:00,3.13,0.25,0.02,0.0,0.0,0.14,0.0
04:00 - 04:15,2.94,0.26,0.01,0.07,0.0,0.14,0.0
04:15 - 04:30,2.72,0.17,0.0,0.03,0.0,0.14,0.0
04:30 - 04:45,3.0,0.2,0.0,0.0,0.0,0.14,0.09
04:45 - 05:00,2.94,0.19,0.01,0.0,0.0,0.14,0.02
05:00 - 05:15,3.28,0.11,0.0,0.0,0.0,0.31,0.21
05:15 - 05:30,3.23,0.11,0.0,0.0,0.0,0.33,0.18
05:30 - 05:45,3.03,0.11,0.0,0.0,0.0,0.31,0.0
05:45 - 06:00,3.14,0.11,0.0,0.04,0.0,0.22,0.0
Medie 2-6,3.99,0.19,0.01,0.01,0.0,0.25,0.03
06:00 - 06:15,3.29,0.11,0.0,0.0,0.0,0.2,0.06
06:15 - 06:30,3.47,0.11,0.0,0.0,0.0,0.14,0.13
06:30 - 06:45,4.63,0.16,0.06,0.08,0.0,0.03,0.25
06:45 - 07:00,5.52,0.28,0.11,0.09,0.0,0.0,0.24
07:00 - 07:15,6.42,0.42,0.05,0.09,0.04,0.0,0.29
07:15 - 07:30,7.14,0.38,0.29,0.09,0.09,0.0,0.34
07:30 - 07:45,7.56,0.44,0.35,0.09,0.09,0.07,0.33
07:45 - 08:00,7.57,0.55,0.56,0.09,0.09,0.01,0.18
08:00 - 08:15,8.63,0.35,0.51,0.04,0.12,0.0,0.27
08:15 - 08:30,9.54,0.49,0.46,0.01,0.09,0.01,0.37
08:30 - 08:45,10.16,0.43,0.54,0.0,0.09,0.0,0.45
08:45 - 09:00,10.65,0.51,0.5,0.07,0.09,0.02,0.49
Medie 6-9,7.05,0.35,0.29,0.05,0.06,0.04,0.28
09:00 - 09:15,10.92,0.53,0.31,0.14,0.09,0.1,0.7
09:15 - 09:30,10.84,0.46,0.31,0.07,0.09,0.1,0.6
09:30 - 09:45,11.09,0.33,0.25,0.0,0.09,0.11,0.37
09:45 - 10:00,10.77,0.3,0.43,0.07,0.09,0.12,0.1
10:00 - 10:15,11.29,0.39,0.4,0.0,0.06,0.15,0.27
10:15 - 10:30,11.32,0.36,0.34,0.1,0.0,0.17,0.24
10:30 - 10:45,10.97,0.41,0.3,0.0,0.0,0.11,0.21
10:45 - 11:00,10.57,0.15,0.32,0.0,0.0,0.05,0.28
11:00 - 11:15,10.57,0.13,0.5,0.0,0.0,0.01,0.24
11:15 - 11:30,11.16,0.14,0.74,0.01,0.0,0.08,0.43
11:30 - 11:45,10.48,0.16,0.75,0.0,0.0,0.06,0.28
11:45 - 12:00,11.14,0.37,0.77,0.0,0.0,0.0,0.19
Medie 9-12,10.93,0.31,0.45,0.03,0.03,0.09,0.33
12:00 - 12:15,11.74,0.52,0.82,0.06,0.0,0.08,0.23
12:15 - 12:30,11.75,0.43,0.66,0.08,0.01,0.13,0.42
12:30 - 12:45,12.25,0.36,0.68,0.08,0.0,0.13,0.63
12:45 - 13:00,12.61,0.35,0.58,0.08,0.0,0.23,0.48
13:00 - 13:15,12.32,0.33,0.47,0.08,0.0,0.31,0.78
13:15 - 13:30,12.72,0.33,0.22,0.08,0.0,0.42,0.96
13:30 - 13:45,13.04,0.15,0.39,0.01,0.0,0.3,0.89
13:45 - 14:00,12.6,0.74,0.37,0.0,0.0,0.13,0.49
14:00 - 14:15,12.56,0.55,0.58,0.22,0.05,0.13,0.86
14:15 - 14:30,12.71,0.47,0.56,0.12,0.09,0.12,0.84
14:30 - 14:45,13.62,0.45,0.35,0.12,0.09,0.23,1.02
14:45 - 15:00,14.33,0.47,0.32,0.14,0.09,0.37,0.8
Medie 12-15,12.69,0.43,0.5,0.09,0.03,0.21,0.7
15:00 - 15:15,15.52,0.54,0.39,0.14,0.03,0.65,0.6
15:15 - 15:30,15.65,0.74,0.72,0.15,0.02,0.57,0.72
15:30 - 15:45,15.9,0.62,0.57,0.07,0.0,0.5,0.53
15:45 - 16:00,16.84,0.49,0.51,0.1,0.01,0.39,0.48
Medie 15-16,15.98,0.6,0.55,0.12,0.02,0.53,0.58
16:00 - 16:15,17.8,0.48,0.56,0.12,0.01,0.49,0.95
16:15 - 16:30,18.14,0.42,0.54,0.12,0.03,0.62,1.04
16:30 - 16:45,18.72,0.35,0.41,0.0,0.0,0.69,1.26
16:45 - 17:00,19.7,0.36,0.41,0.0,0.0,0.85,0.93
17:00 - 17:15,19.52,0.47,0.65,0.0,0.0,0.67,0.79
17:15 - 17:30,19.75,0.63,0.97,0.0,0.0,0.64,0.73
17:30 - 17:45,19.7,0.76,0.66,0.0,0.0,0.44,0.69
17:45 - 18:00,20.53,0.58,0.56,0.0,0.04,0.44,0.87
18:00 - 18:15,21.92,0.67,0.61,0.0,0.11,0.47,1.06
18:15 - 18:30,22.37,0.55,0.72,0.0,0.03,0.46,0.99
18:30 - 18:45,23.77,0.84,0.99,0.01,0.0,0.45,1.01
18:45 - 19:00,24.31,0.59,0.95,0.04,0.11,0.44,1.04
Medie 16-19,20.52,0.56,0.67,0.02,0.03,0.55,0.95
19:00 - 19:15,25.42,0.56,0.85,0.15,0.18,0.44,1.07
19:15 - 19:30,26.2,0.58,0.85,0.03,0.18,0.46,1.23
19:30 - 19:45,27.26,0.57,0.9,0.09,0.21,0.41,1.14
19:45 - 20:00,26.81,0.3,0.91,0.09,0.24,0.28,1.08
Medie 19-20,26.42,0.5,0.88,0.09,0.2,0.4,1.13
20:00 - 20:15,26.97,0.38,0.84,0.07,0.0,0.36,0.84
20:15 - 20:30,27.88,0.2,0.6,0.06,0.01,0.53,0.85
20:30 - 20:45,28.0,0.25,0.39,0.04,0.01,0.39,0.93
20:45 - 21:00,28.6,0.28,0.36,0.15,0.0,0.19,0.77
21:00 - 21:15,28.92,0.21,0.48,0.04,0.02,0.15,0.68
21:15 - 21:30,28.94,0.18,0.53,0.13,0.0,0.22,0.98
21:30 - 21:45,28.79,0.15,0.44,0.11,0.0,0.22,1.15
21:45 - 22:00,28.25,0.08,0.31,0.0,0.0,0.24,0.55
22:00 - 22:15,26.44,0.08,0.43,0.0,0.0,0.33,0.44
22:15 - 22:30,25.76,0.23,0.54,0.0,0.01,0.14,0.39
22:30 - 22:45,24.47,0.15,0.53,0.0,0.0,0.13,0.66
22:45 - 23:00,22.86,0.16,0.3,0.0,0.03,0.25,0.67
Medie 20-23,27.16,0.2,0.48,0.05,0.01,0.26,0.74
23:00 - 23:15,22.77,0.66,0.39,0.04,0.0,0.3,0.72
23:15 - 23:30,20.97,0.85,0.57,0.0,0.0,0.34,0.57
23:30 - 23:45,20.06,0.98,0.58,0.05,0.0,0.26,0.44
23:45 - 24:00,18.01,0.8,0.33,0.12,0.01,0.18,0.31
24:00 - 24:15,15.8,0.73,0.31,0.0,0.0,0.31,0.26
24:15 - 24:30,13.39,0.71,0.55,0.01,0.06,0.14,0.19
24:30 - 24:45,11.42,0.45,0.51,0.01,0.02,0.16,0.4
24:45 - 25:00,10.5,0.36,0.45,0.0,0.0,0.13,0.39
Medie 23-25,16.61,0.69,0.46,0.03,0.01,0.23,0.41
25:00 - 25:15,9.55,0.22,0.45,0.0,0.0,0.12,0.27
25:15 - 25:30,8.75,0.25,0.45,0.0,0.0,0.12,0.26
25:30 - 25:45,7.68,0.4,0.41,0.0,0.0,0.12,0.26
25:45 - 26:00,6.87,0.19,0.28,0.0,0.0,0.12,0.38
Medie 25-26,8.21,0.26,0.4,0.0,0.0,0.12,0.29
Whole day,13.95,0.38,0.41,0.04,0.03,0.25,0.5
