1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
91,22:30 - 22:45,0.35,1.17,0.08,0.28,1.07
92,22:45 - 23:00,0.37,0.99,0,0.29,0.82
93,>>> 20:00 - 23:00,0.77,0.95,0.06,0.35,0.88
94,23:00 - 23:15,0.43,1.25,0.03,0.39,1
95,23:15 - 23:30,0.39,1.14,0.02,0.24,1.3
96,23:30 - 23:45,0.37,1.18,0,0.11,1.2
97,23:45 - 24:00,0.26,1.09,0.02,0.09,1.1
98,24:00 - 24:15,0.26,1,0,0.07,1.17
99,24:15 - 24:30,0.34,0.92,0.02,0.08,1.7
100,24:30 - 24:45,0.56,0.98,0.07,0.23,0.87
101,24:45 - 25:00,0.03,0.37,0.07,0.25,0.91
102,>>> 23:00 - 25:00,0.33,0.99,0.03,0.18,1.16
103,25:00 - 25:15,0.08,0.5,0,0.23,0.9
104,25:15 - 25:30,0.11,0.23,0,0.19,0.89
105,25:30 - 25:45,0.11,0.21,0,0.1,0.69
106,25:45 - 26:00,0.11,0.16,0,0,0.52
107,>>> 25:00 - 26:00,0.1,0.28,0,0.13,0.75
108,Whole day,0.45,0.55,0.06,0.18,0.72
